date,year,month,repo_rate_pct,reverse_repo_pct,usdinr_monthly_avg,wpi_all_commodities,wpi_food_articles,wpi_fruits_vegetables
2024-01-01,2024,1,6.5,3.35,83.121,151.2,188.8,189.6
2024-02-01,2024,2,6.5,3.35,82.9636,151.2,189.4,187.7
2024-03-01,2024,3,6.5,3.35,82.9976,151.4,191.4,197.2
2024-04-01,2024,4,6.5,3.35,83.4043,152.9,196.8,215.0
2024-05-01,2024,5,6.5,3.35,83.3929,153.5,199.3,220.8
2024-06-01,2024,6,6.5,3.35,83.4709,154.0,205.5,245.4
2024-07-01,2024,7,6.5,3.35,83.5947,155.3,213.1,277.6
2024-08-01,2024,8,6.5,3.35,83.8963,154.4,209.0,259.2
2024-09-01,2024,9,6.5,3.35,83.8082,154.7,210.8,264.1
2024-10-01,2024,10,6.5,3.35,84.0295,156.7,217.9,291.6
2024-11-01,2024,11,6.5,3.35,84.3644,156.4,213.7,271.9
2024-12-01,2024,12,6.5,3.35,84.9862,155.7,207.5,244.7
