crop,market,week_start,modal_price_weighted
tomato,PMY Hamirpur,2024-08-19,4085.088919288645
tomato,APMC Azadpur,2024-08-19,2670.13602348607
tomato,Muktsar APMC,2024-08-19,2410.0
tomato,Mehsana(Mehsana Veg) APMC,2024-08-19,2560.8147429679925
tomato,Surat APMC,2024-08-19,2298.872180451128
tomato,PMY Kullu,2024-08-19,3000.0
tomato,Safidon APMC,2024-08-19,3500.0
tomato,Thalasserry Market,2024-08-19,1671.4285714285716
tomato,Myladi(Uzhavar Sandhai ),2024-08-19,3145.833333333333
tomato,Burdwan APMC,2024-08-19,3617.699115044248
tomato,Morinda APMC,2024-08-19,
tomato,Melapalayam(Uzhavar Sandhai ),2024-08-19,2798.0652962515114
tomato,Muzzafarnagar APMC,2024-08-19,3085.9060402684563
tomato,Vellore APMC,2024-08-19,2373.333333333333
tomato,Amroha APMC,2024-08-19,2793.809523809524
tomato,Buland Shahr APMC,2024-08-19,2856.315789473684
tomato,Chaandpur APMC,2024-08-19,2433.333333333333
tomato,Kathua (F&V),2024-08-19,3958.3333333333335
tomato,Rajapalayam(Uzhavar Sandhai ),2024-08-19,2500.0
tomato,Karvi APMC,2024-08-19,3243.360655737705
tomato,Memari APMC,2024-08-19,3919.0082644628096
tomato,PMY Kather Solan,2024-08-19,
tomato,Raigarh APMC,2024-08-19,2581.012658227848
tomato,Rajkot(Veg.Sub Yard) APMC,2024-08-19,2929.938452520516
tomato,Katpadi (Uzhavar Sandhai ),2024-08-19,2516.6666666666665
tomato,Palus APMC,2024-08-19,1800.0
tomato,Muradabad APMC,2024-08-19,2838.340807174888
tomato,Thalavaipuram(Uzhavar Sandhai ),2024-08-19,2500.0
tomato,Melur(Uzhavar Sandhai ),2024-08-19,2494.93670886076
tomato,Pratapgarh APMC,2024-08-19,2956.206896551724
tomato,Piravam Market,2024-08-19,3500.0
tomato,Manjeri Market,2024-08-19,1750.0
tomato,Bagepalli APMC,2024-08-19,1409.48087431694
tomato,Viruthachalam(Uzhavar Sandhai ),2024-08-19,2644.144144144144
tomato,Koduvayoor Market,2024-08-19,2333.333333333333
tomato,Auraiya APMC,2024-08-19,2555.2
tomato,Puranpur APMC,2024-08-19,3016.5074626865667
tomato,Rayya APMC,2024-08-19,1676.190476190476
tomato,Aluva Market,2024-08-19,2855.1724137931037
tomato,Vadodara(Sayajipura) APMC,2024-08-19,2427.785183774519
tomato,Lehra Gaga APMC,2024-08-19,4506.172839506173
tomato,Pune(Moshi) APMC,2024-08-19,1526.3262863980854
tomato,Talwandi Sabo APMC,2024-08-19,2536.6666666666665
tomato,Needamangalam(Uzhavar Sandhai ),2024-08-19,2638.2978723404253
tomato,Narwana APMC,2024-08-19,3225.308641975309
tomato,Chandausi APMC,2024-08-19,2837.575757575757
tomato,Boxonagar,2024-08-19,6307.339449541285
tomato,Kolar APMC,2024-08-19,1189.056643393354
tomato,Arcot(Uzhavar Sandhai ),2024-08-19,2703.680981595092
tomato,Kolhapur APMC,2024-08-19,1373.7000753579505
tomato,Wadakkanchery Market,2024-08-19,2471.428571428572
tomato,Lalgudi(Uzhavar Sandhai ),2024-08-19,2644.715447154472
