state,series,year,month,index_value
Himachal Pradesh,RL,2025,9,138.79
Jammu and Kashmir,AL,2025,9,147.68
Jammu and Kashmir,RL,2025,9,148.01
Jharkhand,AL,2025,9,132.64
Jharkhand,RL,2025,9,132.82
Karnataka,AL,2025,9,139.62
Karnataka,RL,2025,9,140.26
Kerala,AL,2025,9,137.38
Kerala,RL,2025,9,137.53
Lakshadweep,AL,2025,9,138.01
Lakshadweep,RL,2025,9,136.35
Madhya Pradesh,AL,2025,9,132.96
Madhya Pradesh,RL,2025,9,133.49
Maharashtra,AL,2025,9,132.07
Maharashtra,RL,2025,9,132.3
Manipur,AL,2025,9,143.67
Manipur,RL,2025,9,141.81
Meghalaya,AL,2025,9,137.62
Meghalaya,RL,2025,9,137.66
Mizoram,AL,2025,9,148.29
Mizoram,RL,2025,9,145.32
Nagaland,AL,2025,9,135.55
Nagaland,RL,2025,9,138.01
Odisha,AL,2025,9,132.53
Odisha,RL,2025,9,132.66
Puducherry,AL,2025,9,135.89
Puducherry,RL,2025,9,135.8
Punjab,AL,2025,9,138.7
Punjab,RL,2025,9,137.95
Rajasthan,AL,2025,9,137.6
Rajasthan,RL,2025,9,137.03
Sikkim,AL,2025,9,131.63
Sikkim,RL,2025,9,131.59
Tamil Nadu,AL,2025,9,133.35
Tamil Nadu,RL,2025,9,133.28
Telangana,AL,2025,9,139.23
Telangana,RL,2025,9,139.26
Tripura,AL,2025,9,127.96
Tripura,RL,2025,9,128.75
Uttar Pradesh,AL,2025,9,137.42
Uttar Pradesh,RL,2025,9,137.36
Uttarakhand,AL,2025,9,131.2
Uttarakhand,RL,2025,9,131.32
West Bengal,AL,2025,9,136.82
West Bengal,RL,2025,9,136.16
All India,AL,2025,10,136.4
All India,RL,2025,10,136.5
Andaman and Nicobar Islands,AL,2025,10,138.28
Andaman and Nicobar Islands,RL,2025,10,138.23
Andhra Pradesh,AL,2025,10,142.0
Andhra Pradesh,RL,2025,10,142.14
Arunachal Pradesh,AL,2025,10,133.68
Arunachal Pradesh,RL,2025,10,134.22
Assam,AL,2025,10,140.99
Assam,RL,2025,10,141.14
Bihar,AL,2025,10,133.87
Bihar,RL,2025,10,133.5
Chhattisgarh,AL,2025,10,133.69
Chhattisgarh,RL,2025,10,133.92
"Daman and Diu, Dadra Nagar and Haveli",AL,2025,10,138.39
"Daman and Diu, Dadra Nagar and Haveli",RL,2025,10,136.87
Delhi,AL,2025,10,0.0
Delhi,RL,2025,10,133.94
Goa,AL,2025,10,123.9
Goa,RL,2025,10,123.48
Gujarat,AL,2025,10,137.46
Gujarat,RL,2025,10,137.13
Haryana,AL,2025,10,142.79
Haryana,RL,2025,10,141.71
Himachal Pradesh,AL,2025,10,136.38
