market_id,market,crop,state,district,lat,lon,geocode_level,zone_id,zone_market,zone_state,dist_km
236.0,Barnala APMC,tomato,Punjab,Barnala,30.3716802,75.5039887,district,T4_Solan,Solan APMC,Himachal Pradesh,165.3
237.0,Dhuri APMC,tomato,Punjab,Sangrur,30.135717,75.8533326,district,T4_Solan,Solan APMC,Himachal Pradesh,148.2
238.0,Malerkotla APMC,tomato,Punjab,Sangrur,30.135717,75.8533326,district,T4_Solan,Solan APMC,Himachal Pradesh,148.2
239.0,Sunam APMC,tomato,Punjab,Sangrur,30.135717,75.8533326,district,T4_Solan,Solan APMC,Himachal Pradesh,148.2
240.0,Bhawanigarh APMC,tomato,Punjab,Sangrur,30.135717,75.8533326,district,T4_Solan,Solan APMC,Himachal Pradesh,148.2
244.0,Alwar APMC,tomato,Rajasthan,Alwar,27.4140049,76.6170387,district,T4_Solan,Solan APMC,Himachal Pradesh,391.1
247.0,Baran APMC,tomato,Rajasthan,Baran,24.9208165,76.6821985,district,T5_Navsari,Navsari APMC,Gujarat,587.2
248.0,Bharatpur APMC,tomato,Rajasthan,Bharatpur,27.0246959,77.2920116,district,T4_Solan,Solan APMC,Himachal Pradesh,431.8
249.0,Kama APMC,tomato,Rajasthan,Deeg,27.4773321,77.3257027,district,T4_Solan,Solan APMC,Himachal Pradesh,381.6
250.0,Bhilwara APMC,tomato,Rajasthan,Bhilwara,25.470994,74.6961316,district,T5_Navsari,Navsari APMC,Gujarat,535.3
252.0,Nimbahera APMC,tomato,Rajasthan,Chittorgarh,24.7171578,74.4718129,district,T5_Navsari,Navsari APMC,Gujarat,448.9
258.0,Hanumangarh APMC,tomato,Rajasthan,Hanumangarh,29.3659533,74.298429,district,T4_Solan,Solan APMC,Himachal Pradesh,320.5
260.0,Pilibanga APMC,tomato,Rajasthan,Hanumangarh,29.3659533,74.298429,district,T4_Solan,Solan APMC,Himachal Pradesh,320.5
261.0,Jaipur (F&V) APMC,tomato,Rajasthan,Jaipur,26.9154576,75.8189817,district,T4_Solan,Solan APMC,Himachal Pradesh,461.2
266.0,Jodhpur (F&V) APMC,tomato,Rajasthan,Jodhpur,26.2967719,73.0351433,district,T5_Navsari,Navsari APMC,Gujarat,595.0
273.0,Gangapur City APMC,tomato,Rajasthan,Swai Madhopur,27.0238,74.2179,state,T4_Solan,Solan APMC,Himachal Pradesh,515.4
278.0,Pollachi APMC,tomato,Tamil Nadu,Coimbatore,11.0018115,76.9628425,district,T1_Kolar,Kolar APMC,Karnataka,269.5
284.0,Jayamkondam APMC,tomato,Tamil Nadu,Ariyalur,11.1530559,79.2585797,district,T1_Kolar,Kolar APMC,Karnataka,252.5
285.0,Thanjavur APMC,tomato,Tamil Nadu,Thanjavur,10.659037,79.2014278,district,T1_Kolar,Kolar APMC,Karnataka,299.3
286.0,Kumbakonam APMC,tomato,Tamil Nadu,Thanjavur,10.659037,79.2014278,district,T1_Kolar,Kolar APMC,Karnataka,299.3
288.0,Thiruvarur APMC,tomato,Tamil Nadu,Thiruvarur,10.6878621,79.4979437,district,T1_Kolar,Kolar APMC,Karnataka,310.4
