crop,state,market,first_week,last_week,n_weeks,coverage_category
onion,Andaman and Nicobar,Car Nicobar APMC,2019-06-03,2023-09-04,20,Thin (<1yr)
onion,Andaman and Nicobar,Diglipur APMC,2017-01-23,2024-04-01,16,Thin (<1yr)
onion,Andaman and Nicobar,Sri Vijaya Puram APMC,2019-03-04,2022-05-16,14,Thin (<1yr)
onion,Andhra Pradesh,Eluru APMC,2017-03-13,2017-03-13,1,Thin (<1yr)
onion,Andhra Pradesh,"Eluru(P.Sri.Mkt),RBZ APMC",2017-01-02,2017-05-29,7,Thin (<1yr)
onion,Andhra Pradesh,"Eluru-II,RBZ APMC",2016-12-26,2017-08-14,34,Thin (<1yr)
onion,Andhra Pradesh,Ichapuram APMC,2017-09-25,2017-11-06,5,Thin (<1yr)
onion,Andhra Pradesh,Kurnool APMC,2017-01-02,2026-07-20,405,Good (4.5-7yr)
onion,Andhra Pradesh,Ongole(Rythu Bazar) APMC,2017-01-02,2017-05-01,8,Thin (<1yr)
onion,Andhra Pradesh,Pattikonda APMC,2017-11-06,2025-02-10,262,Moderate (2-4.5yr)
onion,Andhra Pradesh,Rajampet APMC,2017-01-02,2017-09-04,12,Thin (<1yr)
onion,Andhra Pradesh,Tadepalligudem APMC,2018-12-24,2019-09-09,36,Thin (<1yr)
onion,Andhra Pradesh,Visakhapatnam APMC,2017-01-09,2017-06-12,5,Thin (<1yr)
onion,Andhra Pradesh,Yerraguntla APMC,2026-07-20,2026-07-20,1,Thin (<1yr)
onion,Arunachal Pradesh,Daporijo APMC,2017-12-04,2017-12-04,1,Thin (<1yr)
onion,Arunachal Pradesh,Naharlagun APMC,2017-06-05,2018-06-18,52,Thin (<1yr)
onion,Arunachal Pradesh,Pasighat APMC,2017-12-04,2017-12-04,1,Thin (<1yr)
onion,Assam,Baharihat APMC,2025-12-15,2026-07-13,6,Thin (<1yr)
onion,Assam,Barpeta Road APMC,2025-12-15,2026-06-08,25,Thin (<1yr)
onion,Assam,Biswanath Chairaili APMC,2026-06-01,2026-06-15,2,Thin (<1yr)
onion,Assam,Bohorihat APMC,2016-12-26,2019-08-26,41,Thin (<1yr)
onion,Assam,Bongiagaon APMC,2016-12-26,2019-11-25,120,Short (1-2yr)
onion,Assam,Cachar APMC,2022-04-04,2022-04-25,2,Thin (<1yr)
onion,Assam,Chairaideo APMC,2025-12-22,2025-12-22,1,Thin (<1yr)
onion,Assam,Dhekiajuli APMC,2017-03-06,2026-07-20,70,Short (1-2yr)
onion,Assam,Dhing APMC,2017-01-02,2026-07-20,153,Moderate (2-4.5yr)
onion,Assam,Dhubri APMC,2025-12-15,2026-02-16,10,Thin (<1yr)
onion,Assam,Dibrugarh APMC,2017-10-16,2022-04-04,85,Short (1-2yr)
onion,Assam,Doomdumia APMC,2025-12-22,2026-07-20,19,Thin (<1yr)
onion,Assam,"Gandhimaidan SMY, Hojai",2025-12-22,2026-07-20,14,Thin (<1yr)
onion,Assam,Gauripur APMC,2017-02-13,2022-02-07,19,Thin (<1yr)
onion,Assam,Gauripur Jute/Pineapple Market,2025-12-15,2026-04-20,18,Thin (<1yr)
onion,Assam,Goalpara APMC,2025-12-15,2026-02-09,9,Thin (<1yr)
onion,Assam,Golaghat APMC,2017-01-16,2018-10-01,66,Short (1-2yr)
onion,Assam,Goreswar APMC,2017-03-20,2017-05-08,8,Thin (<1yr)
onion,Assam,Gossaigaon APMC,2025-12-15,2026-02-09,9,Thin (<1yr)
onion,Assam,Hailakandi APMC,2022-04-04,2022-05-30,3,Thin (<1yr)
onion,Assam,Harbartganj Daily Market APMC,2026-06-22,2026-07-20,5,Thin (<1yr)
onion,Assam,Howly APMC,2017-01-16,2022-05-23,151,Moderate (2-4.5yr)
onion,Assam,Jorhat APMC,2017-01-02,2022-05-30,150,Moderate (2-4.5yr)
onion,Assam,Karimganj APMC,2022-04-18,2022-04-25,2,Thin (<1yr)
onion,Assam,Kharupetia APMC,2017-08-21,2019-09-30,4,Thin (<1yr)
onion,Assam,Kushtoli APMC,2019-11-18,2019-11-25,2,Thin (<1yr)
onion,Assam,Lanka APMC,2017-03-13,2026-02-09,41,Thin (<1yr)
onion,Assam,Moirabari APMC,2025-12-22,2026-02-02,7,Thin (<1yr)
onion,Assam,Nalbari APMC,2025-12-22,2026-02-23,10,Thin (<1yr)
onion,Assam,P.O. Uparhali Guwahati APMC,2017-01-02,2026-06-01,173,Moderate (2-4.5yr)
onion,Assam,Pamohi(Garchuk) APMC,2018-08-13,2026-07-20,129,Moderate (2-4.5yr)
onion,Assam,Santar Bazaar APMC,2026-06-29,2026-07-13,2,Thin (<1yr)
onion,Assam,Sibsagar APMC,2022-03-21,2022-03-21,1,Thin (<1yr)
onion,Assam,Silapathar APMC,2018-02-19,2026-03-09,24,Thin (<1yr)
onion,Assam,Sivasagar APMC,2025-12-22,2026-02-16,9,Thin (<1yr)
onion,Assam,Sonari APMC,2025-12-22,2026-02-16,9,Thin (<1yr)
onion,Assam,Srirampur APMC,2017-01-02,2022-05-23,66,Short (1-2yr)
onion,Assam,Tinsukia APMC,2017-03-06,2022-05-23,32,Thin (<1yr)
onion,Assam,Tinsukia Market,2026-03-02,2026-07-20,9,Thin (<1yr)
onion,Assam,Uparhali Pmy APMC,2026-06-08,2026-07-20,7,Thin (<1yr)
onion,Bihar,Aarah APMC,2021-12-13,2023-01-30,24,Thin (<1yr)
onion,Bihar,Amarpur APMC,2022-03-28,2023-04-03,31,Thin (<1yr)
onion,Bihar,Amba APMC,2022-03-28,2023-06-05,48,Thin (<1yr)
onion,Bihar,Arreria APMC,2022-01-31,2023-02-20,55,Thin (<1yr)
onion,Bihar,Arwal APMC,2022-01-31,2023-05-08,52,Thin (<1yr)
onion,Bihar,Aurangabad APMC,2022-02-14,2023-05-22,53,Thin (<1yr)
onion,Bihar,Bahadurganj APMC,2022-02-21,2026-06-29,141,Moderate (2-4.5yr)
onion,Bihar,Bahadurpur (Ekmi Ghat) APMC,2022-04-25,2024-11-04,64,Short (1-2yr)
onion,Bihar,Balliah APMC,2022-03-28,2026-07-20,64,Short (1-2yr)
onion,Bihar,Barahat APMC,2022-02-28,2026-07-06,160,Moderate (2-4.5yr)
onion,Bihar,Barari APMC,2022-07-18,2022-09-12,5,Thin (<1yr)
onion,Bihar,Barbigha APMC,2022-03-28,2023-06-05,45,Thin (<1yr)
onion,Bihar,Barsoi APMC,2022-02-21,2023-03-06,49,Thin (<1yr)
onion,Bihar,Begusarai APMC,2022-02-07,2026-07-13,39,Thin (<1yr)
onion,Bihar,Benipatti APMC,2022-04-04,2026-07-20,42,Thin (<1yr)
onion,Bihar,Bettiah APMC,2022-02-07,2023-02-27,52,Thin (<1yr)
onion,Bihar,Bhagalpur APMC,2022-01-03,2023-05-29,48,Thin (<1yr)
onion,Bihar,Bhagwanpur Mandi APMC,2022-03-28,2026-07-20,103,Short (1-2yr)
onion,Bihar,Bhawanipur APMC,2022-04-04,2022-06-20,12,Thin (<1yr)
onion,Bihar,Bihariganj APMC,2022-02-07,2023-04-24,43,Thin (<1yr)
onion,Bihar,Biharsharif APMC,2021-11-15,2023-03-27,52,Thin (<1yr)
onion,Bihar,Bihta APMC,2022-03-28,2022-10-31,29,Thin (<1yr)
onion,Bihar,Biraul APMC,2022-02-21,2022-10-10,13,Thin (<1yr)
onion,Bihar,Birpur APMC,2022-02-21,2026-07-20,50,Thin (<1yr)
onion,Bihar,Brahmpur APMC,2022-04-11,2026-01-05,66,Short (1-2yr)
onion,Bihar,Buxur APMC,2022-01-10,2023-03-27,48,Thin (<1yr)
onion,Bihar,Chakia APMC,2021-12-13,2026-07-20,70,Short (1-2yr)
onion,Bihar,Chhapra APMC,2022-02-07,2026-07-20,54,Thin (<1yr)
onion,Bihar,Danapur APMC,2022-02-21,2025-03-03,115,Short (1-2yr)
onion,Bihar,Darbhanga APMC,2022-01-31,2026-07-20,60,Thin (<1yr)
onion,Bihar,Daunagar APMC,2022-03-28,2023-02-06,38,Thin (<1yr)
onion,Bihar,Dehri APMC,2022-03-28,2023-02-20,45,Thin (<1yr)
onion,Bihar,Dumarao APMC,2022-03-28,2023-01-02,17,Thin (<1yr)
onion,Bihar,Forbesganj APMC,2022-01-31,2023-02-20,39,Thin (<1yr)
onion,Bihar,"Gerabari, Korha Block APMC",2022-06-27,2025-05-12,105,Short (1-2yr)
onion,Bihar,Gopalganj APMC,2022-01-17,2025-10-20,35,Thin (<1yr)
onion,Bihar,Gulabbagh APMC,2022-02-21,2022-07-04,20,Thin (<1yr)
onion,Bihar,Hajipur APMC,2018-09-17,2023-06-05,63,Short (1-2yr)
onion,Bihar,Harnaut APMC,2022-09-26,2023-03-27,19,Thin (<1yr)
onion,Bihar,Jahajharpur APMC,2022-02-07,2026-07-20,169,Moderate (2-4.5yr)
onion,Bihar,Jainagar APMC,2022-02-21,2026-07-20,161,Moderate (2-4.5yr)
onion,Bihar,"Jaitipir Mandi, Lalganj block APMC",2022-04-04,2023-02-20,45,Thin (<1yr)
onion,Bihar,Jamui APMC,2022-01-03,2026-07-20,147,Moderate (2-4.5yr)
onion,Bihar,Jehanabad APMC,2022-02-21,2025-08-04,126,Moderate (2-4.5yr)
onion,Bihar,Kahalgaon APMC,2022-01-31,2026-07-06,56,Thin (<1yr)
onion,Bihar,Kaimur APMC,2022-04-04,2023-05-29,61,Thin (<1yr)
onion,Bihar,Kaswa APMC,2022-02-21,2026-06-29,25,Thin (<1yr)
onion,Bihar,Katihar APMC,2022-02-28,2022-08-01,23,Thin (<1yr)
onion,Bihar,Khagaria APMC,2026-06-08,2026-07-20,7,Thin (<1yr)
onion,Bihar,Kishanganj APMC,2022-02-21,2026-06-22,63,Short (1-2yr)
onion,Bihar,Kochas (Balthari) APMC,2024-02-19,2025-12-15,59,Thin (<1yr)
onion,Bihar,Lakhisarai APMC,2022-02-21,2023-02-20,50,Thin (<1yr)
onion,Bihar,Madhuban APMC,2022-03-28,2026-07-20,71,Short (1-2yr)
onion,Bihar,Madhubani APMC,2022-02-07,2026-07-20,53,Thin (<1yr)
onion,Bihar,Maharjganj APMC,2022-03-28,2023-03-06,25,Thin (<1yr)
onion,Bihar,Mansi Mandi APMC,2022-04-04,2026-07-13,131,Moderate (2-4.5yr)
onion,Bihar,Mohana APMC,2021-12-27,2026-06-15,71,Short (1-2yr)
onion,Bihar,Mokama APMC,2022-01-31,2022-11-14,24,Thin (<1yr)
onion,Bihar,Motihari APMC,2022-02-07,2026-07-20,66,Short (1-2yr)
onion,Bihar,Munghair APMC,2022-03-28,2023-04-10,55,Thin (<1yr)
onion,Bihar,Murliganj APMC,2022-03-28,2025-08-18,135,Moderate (2-4.5yr)
onion,Bihar,Muzaffarpur APMC,2022-02-07,2026-06-08,36,Thin (<1yr)
onion,Bihar,Narkatiaganj APMC,2022-01-31,2022-04-04,6,Thin (<1yr)
onion,Bihar,Naugachiya APMC,2022-03-28,2023-05-29,58,Thin (<1yr)
onion,Bihar,Nawada APMC,2022-01-31,2023-04-03,59,Thin (<1yr)
onion,Bihar,Nokha APMC,2022-01-31,2026-06-15,53,Thin (<1yr)
onion,Bihar,"Parsoniya Mandi, Mahua block APMC",2022-04-25,2023-02-27,45,Thin (<1yr)
onion,Bihar,Patna (Musallahpur) APMC,2022-02-28,2025-02-24,32,Thin (<1yr)
onion,Bihar,Piro APMC,2022-03-28,2026-07-13,134,Moderate (2-4.5yr)
onion,Bihar,Rajauli APMC,2022-04-11,2023-05-22,50,Thin (<1yr)
onion,Bihar,Rajaun APMC,2022-12-19,2023-05-22,18,Thin (<1yr)
onion,Bihar,Ramnagar APMC,2022-03-28,2023-02-06,30,Thin (<1yr)
onion,Bihar,Raniganj APMC,2022-03-28,2026-07-06,47,Thin (<1yr)
onion,Bihar,Raxaul APMC,2022-04-04,2026-07-20,69,Short (1-2yr)
onion,Bihar,Saharsa APMC,2022-02-07,2026-07-20,77,Short (1-2yr)
onion,Bihar,Saidpurhat APMC,2022-01-24,2023-04-17,62,Short (1-2yr)
onion,Bihar,Samastipur APMC,2022-02-21,2026-06-08,55,Thin (<1yr)
onion,Bihar,Sasaram APMC,2023-05-22,2026-03-30,111,Short (1-2yr)
onion,Bihar,Shekhpura APMC,2022-02-07,2023-06-05,52,Thin (<1yr)
onion,Bihar,Sheohar APMC,2022-05-09,2026-07-20,187,Moderate (2-4.5yr)
onion,Bihar,Sikandara APMC,2023-02-13,2026-06-08,2,Thin (<1yr)
onion,Bihar,Singheswarsthan APMC,2022-02-07,2023-01-30,45,Thin (<1yr)
onion,Bihar,Sitamarhi APMC,2022-01-31,2023-02-20,45,Thin (<1yr)
onion,Bihar,Siwan APMC,2022-01-31,2023-05-29,62,Short (1-2yr)
onion,Bihar,Sonpur APMC,2022-10-10,2026-06-08,26,Thin (<1yr)
onion,Bihar,Supaul APMC,2022-02-21,2026-07-20,67,Short (1-2yr)
onion,Bihar,Surjyagarha APMC,2022-04-18,2022-10-24,17,Thin (<1yr)
onion,Bihar,Tajpur APMC,2022-03-28,2026-03-30,177,Moderate (2-4.5yr)
onion,Bihar,Teghra APMC,2022-01-31,2023-02-20,38,Thin (<1yr)
onion,Bihar,Thakurganj APMC,2022-02-07,2023-08-14,56,Thin (<1yr)
onion,Bihar,Triveniganj APMC,2022-10-17,2026-07-20,29,Thin (<1yr)
onion,Bihar,Vikramganj APMC,2022-04-11,2023-02-27,42,Thin (<1yr)
onion,Chandigarh,Chandigarh (Grain/F&V) APMC,2024-12-30,2026-07-20,82,Short (1-2yr)
onion,Chandigarh,Chandigarh(Grain/Fruit) APMC,2016-12-26,2024-12-23,298,Good (4.5-7yr)
onion,Chattisgarh,Beltara APMC,2026-06-08,2026-06-08,1,Thin (<1yr)
onion,Chattisgarh,Bilaspur APMC,2024-10-21,2026-03-16,27,Thin (<1yr)
onion,Chattisgarh,Dhamtari APMC,2025-04-28,2025-07-14,8,Thin (<1yr)
onion,Chattisgarh,Durg APMC,2017-01-02,2026-07-20,491,Full (7yr+)
onion,Chattisgarh,Narayanpur APMC,2017-05-01,2024-02-26,6,Thin (<1yr)
onion,Chattisgarh,Raigarh APMC,2017-01-02,2026-07-20,473,Full (7yr+)
onion,Chattisgarh,Rajnandgaon APMC,2017-01-02,2026-07-20,444,Full (7yr+)
onion,Chattisgarh,Tiphra APMC,2017-01-02,2026-07-20,471,Full (7yr+)
onion,Goa,Mapusa APMC,2017-01-02,2026-07-20,474,Full (7yr+)
onion,Gujarat,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,2017-01-02,2026-07-20,413,Good (4.5-7yr)
onion,Gujarat,"Anand(Veg,Yard,Anand) APMC",2017-01-02,2026-07-20,489,Full (7yr+)
onion,Gujarat,Ankleshwar APMC,2022-06-06,2026-07-20,133,Moderate (2-4.5yr)
onion,Gujarat,Babra APMC,2018-08-06,2018-08-20,2,Thin (<1yr)
onion,Gujarat,Bharuch APMC,2017-01-02,2026-07-20,356,Good (4.5-7yr)
onion,Gujarat,Bhavnagar APMC,2017-01-02,2026-05-18,269,Moderate (2-4.5yr)
onion,Gujarat,Bhuj APMC,2023-02-13,2026-07-20,154,Moderate (2-4.5yr)
onion,Gujarat,Bilimora APMC,2017-02-06,2026-07-20,280,Good (4.5-7yr)
onion,Gujarat,Borsad(Veg Yard Barsad) APMC,2020-12-21,2021-02-15,9,Thin (<1yr)
onion,Gujarat,Dahod(Veg. Market) APMC,2016-12-26,2026-07-20,491,Full (7yr+)
onion,Gujarat,Deesa(Deesa Veg Yard) APMC,2017-01-02,2026-07-20,470,Full (7yr+)
onion,Gujarat,Dhari APMC,2018-07-16,2020-11-23,42,Thin (<1yr)
onion,Gujarat,Dhari(Chalala) APMC,2018-07-16,2019-07-29,14,Thin (<1yr)
onion,Gujarat,Dholka(Koth) APMC,2018-05-21,2019-06-24,56,Thin (<1yr)
onion,Gujarat,Dhoraji APMC,2021-12-13,2026-02-16,90,Short (1-2yr)
onion,Gujarat,Godhra APMC,2020-06-15,2020-06-22,2,Thin (<1yr)
onion,Gujarat,Gondal APMC,2017-01-02,2026-07-20,403,Good (4.5-7yr)
onion,Gujarat,Jamnagar APMC,2017-01-02,2026-07-20,288,Good (4.5-7yr)
onion,Gujarat,Jasdan APMC,2026-05-18,2026-05-18,1,Thin (<1yr)
onion,Gujarat,Jetpur(Dist.Rajkot) APMC,2017-01-02,2026-07-20,283,Good (4.5-7yr)
onion,Gujarat,Jhalod APMC,2021-01-11,2021-10-11,12,Thin (<1yr)
onion,Gujarat,K.Mandvi APMC,2025-10-27,2025-11-03,2,Thin (<1yr)
onion,Gujarat,Kapadvanj APMC,2016-12-26,2026-07-20,443,Full (7yr+)
onion,Gujarat,Khambhat(Veg Yard Khambhat) APMC,2017-01-02,2026-07-20,292,Good (4.5-7yr)
onion,Gujarat,Mahuva(Station Road) APMC,2017-01-02,2026-07-20,450,Full (7yr+)
onion,Gujarat,Mehsana(Mehsana Veg) APMC,2017-01-02,2026-07-20,479,Full (7yr+)
onion,Gujarat,Morbi APMC,2017-01-02,2026-07-20,461,Full (7yr+)
onion,Gujarat,Mundra APMC,2024-07-15,2024-08-05,4,Thin (<1yr)
onion,Gujarat,Nadiad APMC,2023-09-11,2025-02-03,14,Thin (<1yr)
onion,Gujarat,Nadiyad(Piplag) APMC,2017-01-02,2026-07-20,269,Moderate (2-4.5yr)
onion,Gujarat,Navsari APMC,2023-07-10,2026-07-20,61,Thin (<1yr)
onion,Gujarat,Padra APMC,2017-01-02,2026-07-20,480,Full (7yr+)
onion,Gujarat,Palitana APMC,2020-12-14,2025-03-10,65,Short (1-2yr)
onion,Gujarat,"Patan(Veg,Yard Patan) APMC",2017-07-10,2019-05-27,4,Thin (<1yr)
onion,Gujarat,"Petlad(Veg Yard, Petlad) APMC",2018-05-21,2021-06-14,99,Short (1-2yr)
onion,Gujarat,Porbandar APMC,2019-12-30,2026-07-20,293,Good (4.5-7yr)
onion,Gujarat,Rajkot(Veg.Sub Yard) APMC,2017-01-02,2026-07-20,482,Full (7yr+)
onion,Gujarat,Siddhpur APMC,2019-09-30,2019-11-11,5,Thin (<1yr)
onion,Gujarat,Songadh APMC,2020-04-06,2020-04-06,1,Thin (<1yr)
onion,Gujarat,Surat APMC,2017-02-20,2026-07-20,480,Full (7yr+)
onion,Gujarat,Taleja APMC,2017-02-13,2026-03-30,57,Thin (<1yr)
onion,Gujarat,Una APMC,2024-01-29,2025-04-28,5,Thin (<1yr)
onion,Gujarat,Vadhvan APMC,2016-12-26,2026-06-22,398,Good (4.5-7yr)
onion,Gujarat,Vadodara(Sayajipura) APMC,2016-12-26,2026-07-20,449,Full (7yr+)
onion,Gujarat,Vijapur(Vegetable) APMC,2025-07-28,2025-10-27,7,Thin (<1yr)
onion,Gujarat,Vijapur(veg) APMC,2023-12-25,2023-12-25,1,Thin (<1yr)
onion,Gujarat,Visavadar APMC,2017-01-02,2026-07-13,345,Good (4.5-7yr)
onion,Gujarat,Visnagar APMC,2023-07-10,2023-08-07,5,Thin (<1yr)
onion,Haryana,Ambala Cantt. APMC,2016-12-26,2026-07-20,373,Good (4.5-7yr)
onion,Haryana,Ambala City APMC,2017-01-02,2025-12-15,66,Short (1-2yr)
onion,Haryana,Ambala City(Subji Mandi) APMC,2022-01-03,2026-07-20,192,Moderate (2-4.5yr)
onion,Haryana,Asandh APMC,2017-01-02,2022-05-30,214,Moderate (2-4.5yr)
onion,Haryana,Babain APMC,2017-05-01,2026-05-25,58,Thin (<1yr)
onion,Haryana,Bahadurgarh APMC,2017-09-25,2026-07-20,201,Moderate (2-4.5yr)
onion,Haryana,Ballabhgarh APMC,2017-01-02,2026-07-20,488,Full (7yr+)
onion,Haryana,Bapauli APMC,2017-09-04,2019-06-17,36,Thin (<1yr)
onion,Haryana,Barara APMC,2017-01-02,2026-05-18,466,Full (7yr+)
onion,Haryana,Barwala APMC,2016-12-26,2026-07-20,486,Full (7yr+)
onion,Haryana,Barwala(Hisar) APMC,2016-12-26,2026-07-20,428,Good (4.5-7yr)
onion,Haryana,Bhiwani APMC,2017-01-30,2026-07-20,199,Moderate (2-4.5yr)
onion,Haryana,Bhuna APMC,2017-09-04,2023-10-09,19,Thin (<1yr)
onion,Haryana,Ch. Dadri APMC,2017-07-31,2026-07-20,286,Good (4.5-7yr)
onion,Haryana,Cheeka APMC,2017-06-19,2026-06-01,212,Moderate (2-4.5yr)
onion,Haryana,Chhachrauli APMC,2016-12-26,2026-07-20,468,Full (7yr+)
onion,Haryana,Dabwali APMC,2018-07-02,2026-07-20,60,Thin (<1yr)
onion,Haryana,Dhand APMC,2016-12-26,2026-07-20,464,Full (7yr+)
onion,Haryana,Dharsul APMC,2023-06-26,2025-10-27,44,Thin (<1yr)
onion,Haryana,Ellanabad APMC,2017-01-02,2025-11-24,76,Short (1-2yr)
onion,Haryana,Faridabad APMC,2016-12-26,2025-07-21,223,Moderate (2-4.5yr)
onion,Haryana,Farukh Nagar APMC,2016-12-26,2026-07-20,392,Good (4.5-7yr)
onion,Haryana,Fatehabad APMC,2017-07-10,2026-07-20,333,Good (4.5-7yr)
onion,Haryana,FerozpurZirkha(Nagina) APMC,2021-12-27,2026-07-20,195,Moderate (2-4.5yr)
onion,Haryana,Ganaur APMC,2017-02-20,2026-07-20,452,Full (7yr+)
onion,Haryana,Gharaunda APMC,2017-01-02,2026-07-20,303,Good (4.5-7yr)
onion,Haryana,Gohana APMC,2017-01-02,2026-07-20,489,Full (7yr+)
onion,Haryana,Gurgaon APMC,2016-12-26,2026-07-20,459,Full (7yr+)
onion,Haryana,Hansi APMC,2017-07-10,2026-07-20,265,Moderate (2-4.5yr)
onion,Haryana,Hassanpur APMC,2017-07-03,2026-07-20,132,Moderate (2-4.5yr)
onion,Haryana,Hissar APMC,2017-01-02,2026-07-20,232,Moderate (2-4.5yr)
onion,Haryana,Hodal APMC,2017-07-03,2026-07-20,135,Moderate (2-4.5yr)
onion,Haryana,Iamailabad APMC,2017-01-02,2025-12-08,189,Moderate (2-4.5yr)
onion,Haryana,Indri APMC,2017-07-03,2026-07-20,139,Moderate (2-4.5yr)
onion,Haryana,Jagadhri APMC,2016-12-26,2026-07-20,435,Good (4.5-7yr)
onion,Haryana,Jakhal APMC,2016-12-26,2026-07-20,425,Good (4.5-7yr)
onion,Haryana,Jhajjar APMC,2017-01-02,2026-07-20,367,Good (4.5-7yr)
onion,Haryana,Jind APMC,2016-12-26,2026-07-20,330,Good (4.5-7yr)
onion,Haryana,Kaithal APMC,2017-07-03,2026-07-20,95,Short (1-2yr)
onion,Haryana,Khanina APMC,2017-07-10,2024-05-13,29,Thin (<1yr)
onion,Haryana,Kosli APMC,2017-07-10,2026-07-20,171,Moderate (2-4.5yr)
onion,Haryana,Ladwa APMC,2017-06-12,2026-07-20,407,Good (4.5-7yr)
onion,Haryana,Loharu APMC,2017-06-26,2025-02-10,65,Short (1-2yr)
onion,Haryana,Madlauda APMC,2017-06-12,2026-07-20,398,Good (4.5-7yr)
onion,Haryana,Meham APMC,2017-01-02,2026-07-20,449,Full (7yr+)
onion,Haryana,Mohindergarh APMC,2016-12-26,2026-07-20,419,Good (4.5-7yr)
onion,Haryana,Mullana APMC,2017-01-09,2021-12-27,63,Short (1-2yr)
onion,Haryana,Mustafabad APMC,2016-12-26,2026-07-20,414,Good (4.5-7yr)
onion,Haryana,Naraingarh APMC,2017-01-02,2026-07-20,494,Full (7yr+)
onion,Haryana,Narnaul APMC,2017-07-03,2026-07-20,320,Good (4.5-7yr)
onion,Haryana,Narnaund APMC,2017-06-12,2020-07-27,155,Moderate (2-4.5yr)
onion,Haryana,Narwana APMC,2017-01-02,2026-07-20,440,Full (7yr+)
onion,Haryana,"New Grain Market , Faridabad APMC",2022-01-10,2026-07-20,222,Moderate (2-4.5yr)
onion,Haryana,"New Grain Market , Panchkula APMC",2018-03-05,2026-07-20,250,Moderate (2-4.5yr)
onion,Haryana,"New Grain Market(main), Karnal APMC",2017-07-03,2026-07-20,248,Moderate (2-4.5yr)
onion,Haryana,Nilokheri APMC,2017-04-03,2019-08-12,4,Thin (<1yr)
onion,Haryana,Nissing APMC,2017-01-23,2018-06-04,39,Thin (<1yr)
onion,Haryana,Nuh APMC,2017-01-16,2026-07-20,247,Moderate (2-4.5yr)
onion,Haryana,Palwal APMC,2017-06-19,2026-06-29,260,Moderate (2-4.5yr)
onion,Haryana,Panchkul(Kalka) APMC,2017-01-02,2026-07-20,353,Good (4.5-7yr)
onion,Haryana,Panipat APMC,2017-01-02,2026-07-20,358,Good (4.5-7yr)
onion,Haryana,Pataudi APMC,2017-07-31,2026-07-20,316,Good (4.5-7yr)
onion,Haryana,Pehowa APMC,2017-01-02,2026-07-20,470,Full (7yr+)
onion,Haryana,Pipli APMC,2017-04-24,2026-06-15,70,Short (1-2yr)
onion,Haryana,Pundri APMC,2017-07-03,2026-07-20,169,Moderate (2-4.5yr)
onion,Haryana,Punhana APMC,2017-11-13,2026-06-29,328,Good (4.5-7yr)
onion,Haryana,Radaur APMC,2016-12-26,2026-07-20,450,Full (7yr+)
onion,Haryana,Raipur Rai APMC,2017-07-24,2026-07-20,216,Moderate (2-4.5yr)
onion,Haryana,Rania APMC,2016-12-26,2026-07-20,266,Moderate (2-4.5yr)
onion,Haryana,Rania(Jiwan nagar) APMC,2017-10-23,2026-07-20,59,Thin (<1yr)
onion,Haryana,Ratia APMC,2017-01-02,2026-05-25,310,Good (4.5-7yr)
onion,Haryana,Rewari APMC,2017-01-09,2026-07-20,356,Good (4.5-7yr)
onion,Haryana,Rohtak APMC,2022-01-24,2026-07-20,215,Moderate (2-4.5yr)
onion,Haryana,Sadhaura APMC,2017-01-02,2026-07-20,476,Full (7yr+)
onion,Haryana,Safidon APMC,2017-01-09,2026-07-20,338,Good (4.5-7yr)
onion,Haryana,Samalkha APMC,2017-07-10,2026-07-20,352,Good (4.5-7yr)
onion,Haryana,Sampla APMC,2017-01-02,2026-07-20,332,Good (4.5-7yr)
onion,Haryana,Shahabad APMC,2017-01-02,2026-07-20,491,Full (7yr+)
onion,Haryana,Shahzadpur APMC,2017-01-02,2026-07-20,471,Full (7yr+)
onion,Haryana,Sirsa APMC,2017-01-02,2026-07-20,342,Good (4.5-7yr)
onion,Haryana,Siwan APMC,2017-01-02,2026-07-20,364,Good (4.5-7yr)
onion,Haryana,Sohna APMC,2016-12-26,2026-07-20,384,Good (4.5-7yr)
onion,Haryana,Sonepat APMC,2016-12-26,2026-07-20,407,Good (4.5-7yr)
onion,Haryana,Sonepat(Kharkhoda) APMC,2017-06-19,2026-07-20,200,Moderate (2-4.5yr)
onion,Haryana,Tarori APMC,2017-07-17,2026-07-20,146,Moderate (2-4.5yr)
onion,Haryana,Tauru APMC,2017-01-02,2026-07-20,379,Good (4.5-7yr)
onion,Haryana,Thanesar APMC,2016-12-26,2026-07-20,403,Good (4.5-7yr)
onion,Haryana,Tohana APMC,2024-06-03,2025-09-08,16,Thin (<1yr)
onion,Haryana,Tohana(New Veg Market) APMC,2017-07-10,2026-07-20,175,Moderate (2-4.5yr)
onion,Haryana,Uklana APMC,2017-01-02,2026-07-20,300,Good (4.5-7yr)
onion,Haryana,Yamuna Nagar APMC,2016-12-26,2026-03-02,219,Moderate (2-4.5yr)
onion,Haryana,kalanwali APMC,2017-01-02,2026-06-29,363,Good (4.5-7yr)
onion,Himachal Pradesh,PMY Bilaspur,2017-01-02,2026-07-20,492,Full (7yr+)
onion,Himachal Pradesh,PMY Chamba,2017-01-02,2026-07-20,487,Full (7yr+)
onion,Himachal Pradesh,PMY Dhalli Shimla,2019-05-27,2026-07-20,335,Good (4.5-7yr)
onion,Himachal Pradesh,PMY Hamirpur,2017-05-15,2026-07-20,470,Full (7yr+)
