year,month,product,mrp_rs_per_mt,source_url
2018,2,24-24-0-8,20400.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,28-28-0,24774.21,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,Ammonium Sulphate,12020.4,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,City Compost,4004.35,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,DAP,23910.92,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,Imported 10-26-26,21100.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,Imported 15-15-15-9,17800.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,Imported 16-16-16,17840.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,Imported 20-20-0-13,17300.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,Imported DAP,23267.33,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,MOP,12360.39,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,SSP Zincated (Granular),7648.09,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,SSP Zincated (Powder),7227.47,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,SSP-Boronated,7753.69,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,SSP-Granular,7688.37,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,SSP-Powdered,7219.18,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,Urea,5360.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,Zincated 20-20-0-13,18360.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,2,Zincated DAP,24800.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_February_2018_0.pdf
2018,3,10-26-26,23151.66,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,12-32-16,22895.64,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,14-35-14,24800.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,15-15-15,19425.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,16-20-0-13,17600.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,17-17-17,21195.62,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,19-19-19,22800.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,20-20-0,17300.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,20-20-0-13,18375.54,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,24-24-0,22189.8,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,24-24-0-8,20400.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,28-28-0,24787.58,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,Ammonium Sulphate,12020.4,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,City Compost,4078.32,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,DAP,24177.65,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,Imported 10-26-26,21151.31,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,Imported 15-15-15-9,18400.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,Imported 16-16-16,18600.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,Imported 20-20-0-13,18600.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,Imported DAP,23204.07,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,MOP,12281.57,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,SSP Zincated (Granular),7675.02,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,SSP Zincated (Powder),7270.69,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,SSP-Boronated,7823.87,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,SSP-Granular,7775.22,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,SSP-Powdered,7218.41,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,Urea,5360.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,3,Zincated 20-20-0-13,18360.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_March_2018_0.pdf
2018,4,10-26-26,23129.04,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,12-32-16,22949.16,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,14-35-14,24800.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,15-15-15,19425.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,16-20-0-13,17600.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,17-17-17,21300.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,19-19-19,22800.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,20-20-0,17300.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,20-20-0-13,18542.73,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,24-24-0,22200.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,24-24-0-8,20400.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,28-28-0,24800.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,Ammonium Sulphate,12020.4,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,City Compost,4179.63,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,DAP,24297.12,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,Imported 10-26-26,21920.42,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,Imported 15-15-15-9,18400.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,Imported 16-16-16,18793.33,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,Imported 20-20-0-13,18548.18,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,Imported DAP,23567.03,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,MOP,13114.96,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,SSP Zincated (Granular),7807.23,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,SSP Zincated (Powder),7533.68,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,SSP-Boronated,8086.61,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,SSP-Granular,7831.99,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,SSP-Powdered,7327.63,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,Urea,5360.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,Zincated 20-20-0-13,19288.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,4,Zincated DAP,24800.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_April_2018_0.pdf
2018,5,10-26-26,23301.33,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,12-32-16,23344.96,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,14-35-14,25140.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,15-15-15,19425.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
