state,district,district_lat,district_lon,grid_lat,grid_lon,distance_km
Uttar Pradesh,Rampur,28.7934728,79.1845806,28.875,79.125,10.76
Uttar Pradesh,Badaun,28.0649367,79.043832,28.125,79.125,10.39
Uttar Pradesh,Raebarelli,26.772397,80.9443626,26.875,80.875,13.32
Uttar Pradesh,Gonda,27.1103723,81.9238906,27.125,81.875,5.1
Uttar Pradesh,Amethi,26.346274,81.6252039,26.375,81.625,3.19
Uttar Pradesh,Pratapgarh,25.75,81.75,25.875,81.625,18.7
Uttar Pradesh,Deoria,26.4239911,83.7638578,26.375,83.875,12.34
Uttar Pradesh,Basti,26.8387083,82.5350919,26.875,82.625,9.79
Uttar Pradesh,Azamgarh,26.023639,83.0293105,26.125,83.125,14.78
Uttar Pradesh,Mirzapur,24.9316896,82.6280163,24.875,82.625,6.31
Uttar Pradesh,Jhansi,25.529855,78.6527802,25.625,78.625,10.94
West Bengal,Medinipur(W),22.4256204,87.3196353,22.375,87.375,8.0
West Bengal,Birbhum,24.0621532,87.6982823,24.125,87.625,10.21
West Bengal,Jalpaiguri,26.6262805,88.7334485,26.625,88.625,10.78
West Bengal,Alipurduar,26.4851573,89.5246926,26.375,89.625,15.8
Tripura,North Tripura,24.0921476,92.2451214,24.125,92.125,12.73
Karnataka,Bengaluru South,12.720006,77.3184199,12.625,77.375,12.22
Karnataka,Chikkamagaluru,13.4058699,75.638758,13.375,75.625,3.74
Karnataka,Kalaburagi,17.2408957,76.7697439,17.125,76.875,17.06
Karnataka,Hassan,13.0301852,76.1744968,13.125,76.125,11.83
Karnataka,Shivamogga,13.9326093,75.574978,13.875,75.625,8.38
Punjab,Mohali,30.6908804,76.7114879,30.625,76.625,11.05
Uttar Pradesh,Fatehpur,25.8348023,80.9154547,25.875,80.875,6.03
Uttar Pradesh,Auraiya,26.6558215,79.5160757,26.625,79.625,11.36
Uttar Pradesh,Mahoba,25.3615938,79.706011,25.375,79.625,8.27
West Bengal,Howrah,22.5736296,88.3251045,22.625,88.375,7.67
Uttar Pradesh,Firozabad,27.1941954,78.4604956,27.125,78.375,11.43
Karnataka,Udupi,13.5269784,74.8731879,13.625,74.875,10.9
Telangana,Ranga Reddy,17.1333954,78.3970979,17.125,78.375,2.53
Andhra Pradesh,Kurnool,15.8309251,78.0425373,15.875,78.125,10.09
Andhra Pradesh,Annamayya,13.7883575,78.6346286,13.875,78.625,9.69
Telangana,Nalgonda,17.0504406,79.2669235,17.125,79.375,14.17
Tamil Nadu,Coimbatore,11.0018115,76.9628425,11.125,76.875,16.72
Uttarakhand,Haridwar,29.9384473,78.1452985,29.875,78.125,7.32
Uttarakhand,Garhwal (Pauri),30.2221746,78.7707901,30.125,78.875,14.73
Keralam,Idukki,9.8154785,76.9991599,9.875,76.875,15.13
Haryana,Ambala,30.3843674,76.770421,30.375,76.875,10.09
Haryana,Faridabad,28.4031478,77.3105561,28.375,77.375,7.04
Haryana,Mahendragarh-Narnaul,28.0530574,76.1136303,28.125,76.125,8.08
Odisha,Nayagarh,20.2393682,85.050728,20.125,85.125,14.89
Odisha,Sundergarh,22.1172081,84.0200982,22.125,84.125,10.84
Punjab,Fatehgarh,31.6610527,74.9764967,31.625,74.875,10.41
Rajasthan,Ajmer,26.4691,74.639,26.375,74.625,10.56
Uttar Pradesh,Bijnor,29.4074203,78.4821406,29.375,78.375,10.99
Uttar Pradesh,Kasganj,27.7888527,78.8229701,27.875,78.875,10.86
Uttar Pradesh,Amroha,28.7952632,78.3436244,28.875,78.375,9.38
Uttar Pradesh,Kanpur Dehat,26.4585639,79.8548052,26.375,79.875,9.51
Uttar Pradesh,Unnao,26.5673264,80.6198193,26.625,80.625,6.43
Gujarat,Vadodara(Baroda),22.3108115,73.1657755,22.375,73.125,8.28
Andhra Pradesh,Chittor,13.2178147,79.0929361,13.125,79.125,10.89
Telangana,Hanumakonda,18.032699,79.4283969,18.125,79.375,11.71
Telangana,Karimnagar,18.4348122,79.1328042,18.375,79.125,6.7
Telangana,Medak,17.9375095,78.211745,17.875,78.125,11.51
Odisha,Jharsuguda,21.8019368,83.9713964,21.875,83.875,12.85
Gujarat,Navsari,20.952407,72.9323831,20.875,72.875,10.47
Maharashtra,Sangli,17.1726928,74.5867654,17.125,74.625,6.68
Maharashtra,Satara,17.6361289,74.2982781,17.625,74.375,8.22
Rajasthan,Beawar,26.1070559,74.3128424,26.125,74.375,6.52
Rajasthan,Bharatpur,27.0246959,77.2920116,27.125,77.375,13.85
Rajasthan,Hanumangarh,29.3659533,74.298429,29.375,74.375,7.49
Rajasthan,Ganganagar,25.9061389,76.4815499,25.875,76.375,11.21
Rajasthan,Chittorgarh,24.7171578,74.4718129,24.625,74.375,14.17
Rajasthan,Rajsamand,25.2892459,73.8241077,25.375,73.875,10.82
Punjab,Hoshiarpur,31.6092942,75.8459754,31.625,75.875,3.26
Punjab,Jalandhar,31.2922312,75.5678878,31.375,75.625,10.68
Tamil Nadu,Vellore,12.9021849,79.061104,12.875,79.125,7.56
Odisha,Puri,19.8076083,85.8252538,20.125,85.875,35.67
Odisha,Gajapati,19.1966026,84.1930634,19.125,84.125,10.7
Odisha,Ganjam,19.6090068,84.7080633,19.625,84.625,8.88
Odisha,Boudh,20.6407463,83.9969704,20.625,83.875,12.81
Odisha,Balasore,21.5006421,86.919884,21.625,86.875,14.59
Odisha,Dhenkanal,20.8351494,85.6022305,20.875,85.625,5.02
Odisha,Keonjhar,21.5,85.5,21.625,85.375,18.98
Odisha,Khurda,20.1531141,85.7076331,20.125,85.625,9.18
Odisha,Sonepur,20.8453864,83.909083,20.875,83.875,4.84
Gujarat,Porbandar,21.6505229,69.6565371,21.625,69.875,22.76
Gujarat,Bhavnagar,21.7718836,72.1416449,21.875,72.125,11.59
Punjab,Amritsar,31.6356659,74.8787496,31.625,74.875,1.24
Gujarat,Amreli,21.4176122,71.249609,21.375,71.125,13.74
Maharashtra,Raigad,18.4928092,73.138071,18.375,73.125,13.17
Maharashtra,Ratnagiri,17.2826079,73.4569787,17.375,73.375,13.46
Tripura,West District,23.9153329,91.3879341,23.875,91.375,4.67
Tripura,Gomati,23.4987407,91.2999111,23.375,91.375,15.75
Uttar Pradesh,Maharajganj,26.4710847,81.1807046,26.375,81.125,12.04
