zone_id,crop,week_start,era5_tmax,era5_tmin,era5_tmean,era5_dtr,era5_heat_35,era5_heat_38,chirps_rain_mm,chirps_rain_max,chirps_excess,s2_ndvi,s2_evi,s2_valid_frac,s2_ndvi_anom,modis_ndvi,modis_evi,modis_lst_mean,modis_lst_max,modis_lst_frac35
O10_Gondal,onion,2017-01-02,29.302819902959303,14.837222458286702,21.504052334244598,14.465597444672602,0.0,0.0,0.7052594655080455,0.2113162279129028,0.0,,,,,,,,,
O10_Gondal,onion,2017-01-09,26.70574483356737,12.255827214798112,18.93595801592441,14.449917618769257,0.0,0.0,0.6874318543060141,0.2169669717550277,0.0,,,,,,,29.284702659058908,33.150000000000034,0.0
O10_Gondal,onion,2017-01-16,28.00491425053883,14.816473478018294,20.85430154993754,13.18844077252054,0.0,0.0,1.349122058196667,0.2154094725847244,0.0,,,,,0.3994553952621607,0.2405188147778472,31.854767483421107,36.79000000000002,0.0444714153104806
O10_Gondal,onion,2017-01-23,30.481852024671564,15.381276022940373,22.447123702111906,15.100576001731188,0.0,0.0,0.7861049688080304,0.234422504901886,0.0,,,,,0.3994553952621607,0.2405188147778472,34.54974322249851,39.370000000000005,0.468517370923406
O10_Gondal,onion,2017-01-30,30.416045491442212,15.049589651623142,22.127788981072683,15.366455839819068,0.0007371913011426466,0.0,0.654707028662796,0.1845274567604065,0.0,0.2747649260586168,0.1733322702036138,0.8417695970388536,-0.11545828722423224,0.3802277522990944,0.2209557715619893,34.717960822531445,39.85000000000002,0.50542842963561
O10_Gondal,onion,2017-02-06,28.626987847643626,13.490472484422128,20.83267343330396,15.1365153632215,0.0,0.0,1.282933764178294,0.199306458234787,0.0,0.2747649260586168,0.1733322702036138,0.8417695970388536,-0.09629229097136771,0.3802277522990944,0.2209557715619893,37.44360524766181,41.33000000000004,0.8682628048043567
O10_Gondal,onion,2017-02-13,35.3479939710083,20.594420353128857,27.603547562800127,14.753573617879443,4.877994839660892,0.7150755621083672,0.6437501451663685,0.2002903223037719,0.0,0.21186005241784,0.142258442316914,1.0,-0.1209913078028565,0.3168351698390733,0.1818216230097309,40.81528776514072,44.450000000000045,0.974767611989807
O10_Gondal,onion,2017-02-20,32.99826533946439,17.88545333318355,25.078562652377407,15.112812006280835,2.124585329893107,0.0,1.1285706706953045,0.1986296027898788,0.0,0.21186005241784,0.142258442316914,1.0,-0.08953069699139016,0.3168351698390733,0.1818216230097309,43.338029519384165,47.190000000000055,0.9946633684497436
O10_Gondal,onion,2017-02-27,33.85022768224816,19.79185861753545,26.41816181984129,14.058369064712709,1.362329524511611,0.0,0.8102395729012966,0.237481027841568,0.0,0.21186005241784,0.142258442316914,1.0,-0.04126283032496947,0.3168351698390733,0.1818216230097309,43.338029519384165,47.190000000000055,0.9946633684497436
O10_Gondal,onion,2017-03-06,31.811377003904635,18.785158160341602,25.02885734666979,13.026218843563033,0.0,0.0,1.7218074049345806,0.2766719162464142,0.0,0.2164137115409392,0.1263071486494309,0.8449100999387241,-0.025826807131377527,0.2551195964228691,0.1470625563367011,40.50680160042381,44.03000000000003,0.9802497833616612
O10_Gondal,onion,2017-03-13,34.60217748246963,19.816394504484673,27.142532167529634,14.78578297798495,2.5823811279026905,0.0,0.891505086178622,0.2872066497802734,0.0,0.2164137115409392,0.1263071486494309,0.8449100999387241,-0.008235699786296014,0.2551195964228691,0.1470625563367011,45.01514990858741,47.99000000000001,0.9998688598780654
O10_Gondal,onion,2017-03-20,36.74259988148943,21.915543920719774,28.898258726545766,14.82705596076966,6.608551419093255,1.3796535200884632,1.840845263246142,0.2944091856479645,0.0,0.1922830676220021,0.1111785279320791,0.8436589301930788,-0.023530046848828895,0.2397755068745114,0.1371054283316756,48.00933553614432,51.75000000000006,1.0
O10_Gondal,onion,2017-03-27,38.63885862631583,23.894215181993616,30.545484149525727,14.744643444322211,7.0,4.882417987467748,0.4979670651989005,0.1377719342708587,0.0,0.1922830676220021,0.1111785279320791,0.8436589301930788,-0.017748455928392498,0.2397755068745114,0.1371054283316756,47.58551960544818,50.43000000000001,1.0
O10_Gondal,onion,2017-04-03,36.79069278691533,22.561242354391375,29.258926662051188,14.22945043252396,5.987467747880575,2.056763730187984,0.4421040816399755,0.1392790973186493,0.0,0.1840350031207493,0.1104570592853615,0.8488295784851703,-0.017245061297164715,0.228127740269613,0.1294433283536142,50.59405630282571,53.03000000000003,1.0
O10_Gondal,onion,2017-04-10,41.14290296630798,24.076962758983722,32.48730908218555,17.065940207324253,7.0,7.0,0.9044049660866871,0.1581955701112747,0.0,0.1840350031207493,0.1104570592853615,0.8488295784851703,-0.012285926503825595,0.228127740269613,0.1294433283536142,49.74486615825797,52.47000000000003,1.0
O10_Gondal,onion,2017-04-17,38.59683837504961,24.784987630859714,30.663418999961667,13.811850744189893,6.844452635458902,4.84113527460376,0.6282459733385946,0.1903395056724548,0.0,0.1630684124781565,0.0987666910705143,0.8405345307120712,-0.028138228746353133,0.225806080673621,0.1238071439009339,46.29399208016529,49.03000000000003,1.0
