crop,week_start,era5_tmax,era5_tmin,era5_tmean,era5_dtr,era5_heat_35,era5_heat_38,chirps_rain_mm,chirps_rain_max,chirps_excess,s2_ndvi,s2_evi,s2_valid_frac,s2_ndvi_anom,modis_ndvi,modis_evi,modis_lst_mean,modis_lst_max,modis_lst_frac35
onion,2017-01-02,29.42789326630408,14.755264024276473,21.557662640384876,14.672629242027607,0.0,0.0,1.5173039631315153,0.7644187249243259,0.0,,,,,,,,,
onion,2017-01-09,27.64643664271496,14.37362325017889,20.60177003102405,13.272813392536074,0.0,0.0,1.37678260774763,0.7718513030558825,0.0,,,,,,,30.444354948177264,35.43500000000002,0.07600141646319948
onion,2017-01-16,29.228542118943768,16.301453754263832,22.30572911690805,12.927088364679935,0.0,0.0,2.6852178102424293,0.7884979248046875,0.0,0.33660857245788023,0.20287641371980658,0.8583313050875084,-0.030355531655691863,0.37874083817781756,0.21116064349007668,32.4191155034859,37.49250000000003,0.1712977404813667
onion,2017-01-23,30.814356543449975,17.465014279895076,23.67268351784552,13.349342263554897,0.07106307435254805,0.0,1.6144267896340645,0.8781323805451392,0.0,0.33660857245788023,0.20287641371980658,0.8583313050875084,-0.023119477074470724,0.37874083817781756,0.21116064349007668,34.277113559213134,39.75500000000003,0.3768036754026046
onion,2017-01-30,31.704033871464095,17.187339593247362,24.098161688682605,14.516694278216734,0.11220527863075805,0.0,1.545684301305858,0.8667081519961357,0.0,0.2984949654292633,0.1863366562873982,0.8706907006229548,-0.044754245417191536,0.35922638168922527,0.20175679993682388,35.933387516074575,41.50750000000002,0.5921367694902302
onion,2017-02-06,31.133365115861327,16.646384123104664,23.519613809125175,14.486980992756664,0.4214663288207675,0.0,3.1728761427564773,0.9421130307018757,0.0,0.2984949654292633,0.1863366562873982,0.8706907006229548,-0.030970811238662566,0.35922638168922527,0.20175679993682388,36.203951283033966,41.205000000000034,0.6794824471328708
onion,2017-02-13,33.59826972410992,19.69162781649824,26.32195468666015,13.906641907611679,1.9184612174427207,0.21652709902253015,1.607980785255417,0.9236968569457531,0.0,0.26085132363249897,0.16530348699503802,0.825473875274491,-0.04932540776884795,0.3306007912257045,0.18854630374595005,40.794486690617,46.73000000000003,0.9486981688726488
onion,2017-02-20,34.29807087335112,19.08325993881124,26.41735248999331,15.214810934539885,3.0304827871696154,0.568304011662937,2.558151588895911,0.8800100069493055,0.0,0.26085132363249897,0.16530348699503802,0.825473875274491,-0.03589420384532188,0.3306007912257045,0.18854630374595005,41.39669616005626,47.45500000000003,0.9583956389442065
onion,2017-02-27,34.72841386585155,19.92140160225635,27.08483340259519,14.807012263595203,3.067741812100159,0.1997222349958309,1.9077539179804794,1.2290270291268826,0.0,0.26085132363249897,0.16530348699503802,0.825473875274491,-0.01897591002181905,0.3306007912257045,0.18854630374595005,41.39669616005626,47.45500000000003,0.9583956389442065
onion,2017-03-06,32.605520990806866,19.229465620175333,25.77358173817951,13.37605537063154,1.5255297872408784,0.17155191121356142,2.755258647824892,1.0467832125723362,0.0,0.24936047871258,0.15544831889405936,0.8973814680721591,-0.02175904754767279,0.3015010507146554,0.17531710522947824,40.85910536418824,46.562500000000036,0.9383110212944262
onion,2017-03-13,34.51976171761214,20.63504473091933,27.44439240557213,13.884716986692812,2.9455287762475395,0.18659833466629971,1.056844827837093,0.5466350354254246,0.0,0.24936047871258,0.15544831889405936,0.8973814680721591,-0.011247816116783757,0.3015010507146554,0.17531710522947824,42.07617790633945,47.152500000000025,0.9747366531165693
onion,2017-03-20,37.15681685167814,22.918221791341267,29.88699213668579,14.238595060336868,6.01945647996979,2.36591388502456,3.2855910489164137,1.5953972600400448,0.0,0.22989667832376448,0.1394933179586436,0.8847681826239732,-0.024228762169268718,0.2860263168957482,0.1666548589648587,45.98257732931744,51.49250000000002,0.9918284844736605
onion,2017-03-27,38.8075635568265,25.241182884394465,31.576130944491485,13.566380672432038,6.61080118367751,4.530334975071142,3.528047383137815,1.9598593302071095,0.0,0.22989667832376448,0.1394933179586436,0.8847681826239732,-0.019180817998804667,0.2860263168957482,0.1666548589648587,44.79684452897479,50.68500000000003,0.9901922524811586
onion,2017-04-03,37.45826487499218,23.628520791515115,30.162436787340855,13.829744083477067,5.42755893582907,3.315918759792891,4.1866501157139195,1.8024233765900135,0.0,0.21521130265215938,0.13807034342815824,0.8783617315990742,-0.02240422748249421,0.27147605156641075,0.15842925206363492,47.370622031336005,52.635000000000026,0.9937664308031837
