crop,market_id,state,horizon_weeks,market_wape_raw,market_n,market_wape_shrunk,state_wape_raw,state_n,state_wape_shrunk,crop_wape_raw
onion,89,Haryana,26,39.5,215,38.6,34.9,8583,34.9,33.1
onion,92,Haryana,1,19.1,191,18.4,16.1,9777,16.1,14.6
onion,92,Haryana,4,25.0,181,24.5,23.0,9617,23.0,20.9
onion,92,Haryana,13,33.4,160,33.7,34.7,9170,34.7,29.5
onion,92,Haryana,26,35.7,156,35.5,34.9,8583,34.9,33.1
onion,97,Jammu and Kashmir,1,14.3,219,14.3,14.3,1046,14.3,14.6
onion,97,Jammu and Kashmir,4,20.0,210,20.2,20.8,1019,20.8,20.9
onion,97,Jammu and Kashmir,13,26.0,194,27.2,31.6,952,31.4,29.5
onion,97,Jammu and Kashmir,26,30.8,195,31.4,33.5,888,33.5,33.1
onion,98,Jammu and Kashmir,1,13.5,240,13.7,14.3,1046,14.3,14.6
onion,98,Jammu and Kashmir,4,19.4,237,19.7,20.8,1019,20.8,20.9
onion,98,Jammu and Kashmir,13,30.9,228,31.0,31.6,952,31.4,29.5
onion,98,Jammu and Kashmir,26,31.7,215,32.0,33.5,888,33.5,33.1
onion,99,Karnataka,1,18.3,205,18.1,17.6,3074,17.5,14.6
onion,99,Karnataka,4,24.4,199,24.4,24.4,3004,24.3,20.9
onion,99,Karnataka,13,37.3,181,36.6,34.5,2811,34.3,29.5
onion,99,Karnataka,26,36.4,155,36.4,36.5,2556,36.4,33.1
onion,101,Karnataka,1,19.0,205,18.7,17.6,3074,17.5,14.6
onion,101,Karnataka,4,26.7,198,26.2,24.4,3004,24.3,20.9
onion,101,Karnataka,13,36.6,181,36.1,34.5,2811,34.3,29.5
onion,101,Karnataka,26,37.5,160,37.2,36.5,2556,36.4,33.1
onion,105,Karnataka,1,20.6,204,20.0,17.6,3074,17.5,14.6
onion,105,Karnataka,4,29.1,198,28.1,24.4,3004,24.3,20.9
onion,105,Karnataka,13,37.2,180,36.5,34.5,2811,34.3,29.5
onion,105,Karnataka,26,33.8,154,34.4,36.5,2556,36.4,33.1
onion,106,Karnataka,1,15.0,240,15.5,17.6,3074,17.5,14.6
onion,106,Karnataka,4,20.9,237,21.5,24.4,3004,24.3,20.9
onion,106,Karnataka,13,33.7,228,33.8,34.5,2811,34.3,29.5
onion,106,Karnataka,26,36.9,215,36.8,36.5,2556,36.4,33.1
onion,108,Karnataka,1,19.5,240,19.1,17.6,3074,17.5,14.6
onion,108,Karnataka,4,28.4,237,27.7,24.4,3004,24.3,20.9
onion,108,Karnataka,13,37.1,228,36.6,34.5,2811,34.3,29.5
onion,108,Karnataka,26,29.8,215,31.0,36.5,2556,36.4,33.1
onion,115,Karnataka,1,19.2,229,18.9,17.6,3074,17.5,14.6
onion,115,Karnataka,4,25.8,223,25.5,24.4,3004,24.3,20.9
onion,115,Karnataka,13,35.4,211,35.2,34.5,2811,34.3,29.5
onion,115,Karnataka,26,40.8,198,39.9,36.5,2556,36.4,33.1
onion,116,Karnataka,1,18.8,139,18.4,17.6,3074,17.5,14.6
onion,116,Karnataka,4,26.5,130,25.9,24.4,3004,24.3,20.9
onion,116,Karnataka,13,48.8,103,43.9,34.5,2811,34.3,29.5
onion,116,Karnataka,26,38.5,64,37.5,36.5,2556,36.4,33.1
onion,126,Kerala,1,12.0,240,12.2,13.1,13631,13.1,14.6
onion,126,Kerala,4,18.8,237,18.8,18.6,13436,18.6,20.9
onion,126,Kerala,13,26.1,228,25.8,24.6,12862,24.7,29.5
onion,126,Kerala,26,33.3,215,32.7,30.0,12067,30.1,33.1
onion,128,Kerala,1,10.8,109,11.6,13.1,13631,13.1,14.6
onion,128,Kerala,4,17.3,106,17.8,18.6,13436,18.6,20.9
onion,128,Kerala,13,29.0,97,27.5,24.6,12862,24.7,29.5
onion,128,Kerala,26,29.0,84,29.4,30.0,12067,30.1,33.1
onion,129,Kerala,1,12.7,240,12.8,13.1,13631,13.1,14.6
onion,129,Kerala,4,20.1,237,19.8,18.6,13436,18.6,20.9
onion,129,Kerala,13,27.6,228,27.1,24.6,12862,24.7,29.5
onion,129,Kerala,26,33.3,215,32.7,30.0,12067,30.1,33.1
onion,132,Kerala,1,12.3,239,12.4,13.1,13631,13.1,14.6
onion,132,Kerala,4,17.2,236,17.5,18.6,13436,18.6,20.9
onion,132,Kerala,13,22.7,227,23.1,24.6,12862,24.7,29.5
onion,132,Kerala,26,28.0,214,28.4,30.0,12067,30.1,33.1
onion,134,Kerala,1,12.2,240,12.4,13.1,13631,13.1,14.6
onion,134,Kerala,4,19.9,237,19.7,18.6,13436,18.6,20.9
onion,134,Kerala,13,30.9,228,29.8,24.6,12862,24.7,29.5
onion,134,Kerala,26,36.3,215,35.1,30.0,12067,30.1,33.1
onion,135,Kerala,1,13.6,240,13.5,13.1,13631,13.1,14.6
onion,135,Kerala,4,21.1,237,20.7,18.6,13436,18.6,20.9
onion,135,Kerala,13,26.6,228,26.2,24.6,12862,24.7,29.5
onion,135,Kerala,26,32.2,215,31.8,30.0,12067,30.1,33.1
onion,136,Kerala,1,14.2,240,14.0,13.1,13631,13.1,14.6
onion,136,Kerala,4,20.0,237,19.7,18.6,13436,18.6,20.9
onion,136,Kerala,13,24.7,228,24.7,24.6,12862,24.7,29.5
onion,136,Kerala,26,29.5,215,29.6,30.0,12067,30.1,33.1
onion,139,Kerala,1,16.4,240,15.8,13.1,13631,13.1,14.6
onion,139,Kerala,4,24.5,237,23.5,18.6,13436,18.6,20.9
onion,139,Kerala,13,36.3,228,34.2,24.6,12862,24.7,29.5
onion,139,Kerala,26,42.8,215,40.3,30.0,12067,30.1,33.1
onion,140,Kerala,1,14.8,228,14.5,13.1,13631,13.1,14.6
onion,140,Kerala,4,20.3,222,20.0,18.6,13436,18.6,20.9
onion,140,Kerala,13,28.2,208,27.5,24.6,12862,24.7,29.5
onion,140,Kerala,26,33.6,195,32.9,30.0,12067,30.1,33.1
onion,145,Maharashtra,1,20.0,240,19.9,19.4,16136,19.4,14.6
onion,145,Maharashtra,4,27.8,237,27.8,27.7,15864,27.7,20.9
onion,145,Maharashtra,13,42.4,228,42.0,40.4,15133,40.4,29.5
onion,145,Maharashtra,26,46.8,215,46.1,43.3,14231,43.2,33.1
onion,149,Maharashtra,1,20.0,240,19.9,19.4,16136,19.4,14.6
onion,149,Maharashtra,4,30.5,237,29.9,27.7,15864,27.7,20.9
onion,149,Maharashtra,13,45.9,228,44.9,40.4,15133,40.4,29.5
onion,149,Maharashtra,26,50.2,215,48.8,43.3,14231,43.2,33.1
onion,151,Maharashtra,1,20.4,240,20.2,19.4,16136,19.4,14.6
onion,151,Maharashtra,4,30.6,237,30.0,27.7,15864,27.7,20.9
onion,151,Maharashtra,13,47.4,228,46.1,40.4,15133,40.4,29.5
onion,151,Maharashtra,26,48.1,215,47.1,43.3,14231,43.2,33.1
onion,152,Maharashtra,1,16.7,240,17.2,19.4,16136,19.4,14.6
onion,152,Maharashtra,4,23.8,237,24.5,27.7,15864,27.7,20.9
onion,152,Maharashtra,13,38.0,228,38.4,40.4,15133,40.4,29.5
onion,152,Maharashtra,26,40.2,215,40.8,43.3,14231,43.2,33.1
onion,155,Maharashtra,1,16.8,240,17.2,19.4,16136,19.4,14.6
onion,155,Maharashtra,4,23.7,237,24.4,27.7,15864,27.7,20.9
onion,155,Maharashtra,13,35.0,228,36.0,40.4,15133,40.4,29.5
onion,155,Maharashtra,26,38.1,215,39.1,43.3,14231,43.2,33.1
onion,159,Maharashtra,1,21.8,240,21.4,19.4,16136,19.4,14.6
onion,159,Maharashtra,4,30.5,237,30.0,27.7,15864,27.7,20.9
onion,159,Maharashtra,13,45.7,228,44.7,40.4,15133,40.4,29.5
onion,159,Maharashtra,26,47.9,215,47.0,43.3,14231,43.2,33.1
onion,160,Maharashtra,1,21.4,240,21.0,19.4,16136,19.4,14.6
onion,160,Maharashtra,4,29.4,237,29.1,27.7,15864,27.7,20.9
onion,160,Maharashtra,13,44.4,228,43.7,40.4,15133,40.4,29.5
onion,160,Maharashtra,26,48.0,215,47.0,43.3,14231,43.2,33.1
onion,161,Maharashtra,1,19.6,240,19.6,19.4,16136,19.4,14.6
onion,161,Maharashtra,4,26.8,237,27.0,27.7,15864,27.7,20.9
onion,161,Maharashtra,13,38.2,228,38.6,40.4,15133,40.4,29.5
onion,161,Maharashtra,26,40.8,215,41.3,43.3,14231,43.2,33.1
onion,162,Maharashtra,1,19.9,240,19.8,19.4,16136,19.4,14.6
onion,162,Maharashtra,4,27.8,237,27.8,27.7,15864,27.7,20.9
onion,162,Maharashtra,13,38.7,228,39.0,40.4,15133,40.4,29.5
onion,162,Maharashtra,26,41.4,215,41.7,43.3,14231,43.2,33.1
onion,164,Maharashtra,1,18.8,240,18.9,19.4,16136,19.4,14.6
onion,164,Maharashtra,4,27.9,237,27.8,27.7,15864,27.7,20.9
onion,164,Maharashtra,13,41.5,228,41.3,40.4,15133,40.4,29.5
