feature,mean_abs_shap,layer,pct_of_total,crop,horizon_weeks,rank
export_veg_usd_mn,0.01095121584615634,Macro,2.1005319786055616,onion,4,8
wpi_tomato,0.010949793201428148,Macro,2.100259103813599,onion,4,9
era5_dtr,0.008373579085203487,Climate,1.6061203514700162,onion,4,10
chirps_rain_mm_roll8,0.008226978256471621,Climate,1.5780011240556975,onion,4,11
cold_storage_n_facilities,0.007501225265270459,Infrastructure,1.4387958168092203,onion,4,12
wpi_vegetables_total,0.006606663190059285,Macro,1.2672115587481998,onion,4,13
era5_tmean,0.006460430568360562,Climate,1.2391629564278188,onion,4,14
s2_ndvi,0.006040781446973142,Satellite,1.1586708529343617,onion,4,15
cold_storage_capacity_mt,0.11736956466611388,Infrastructure,23.667461583264757,onion,13,1
chirps_rain_mm_roll8,0.05161936671273983,Climate,10.408996421701357,onion,13,2
price_lag_1,0.03874776556657714,Price,7.81345023808443,onion,13,3
wpi_vegetables_total,0.023754297343689543,Macro,4.790031567540915,onion,13,4
chirps_rain_mm_roll4,0.01507184198011028,Climate,3.0392226644790865,onion,13,5
s2_ndvi_roll4,0.014557407179768627,Satellite,2.9354873740840306,onion,13,6
price_roll_mean_13,0.014347931511506998,Price,2.893246803921618,onion,13,7
wpi_fruits_vegetables,0.012429914237041305,Macro,2.506480436604922,onion,13,8
price_roll_mean_4,0.010914556421110874,Price,2.2009099678427755,onion,13,9
era5_tmin,0.010854978649832855,Climate,2.1888961666759204,onion,13,10
wage_agri_women,0.010788574942854416,Infrastructure,2.175505922038229,onion,13,11
cold_storage_n_facilities,0.010577689234835212,Infrastructure,2.132981018693801,onion,13,12
lpg_nonsub_4city_rs_cyl,0.010264553868128119,Macro,2.0698375684902977,onion,13,13
cos_week,0.0095484704521957,Price,1.9254400256928448,onion,13,14
wage_agri_men,0.00939821240032453,Infrastructure,1.8951406318052249,onion,13,15
cold_storage_capacity_mt,0.17797284090881996,Infrastructure,25.534015280226175,onion,26,1
week_num,0.07097303966933122,Price,10.182602413641597,onion,26,2
wpi_tomato,0.037108024428706615,Macro,5.323940765024019,onion,26,3
modis_lst_mean_roll4,0.030855377444812957,Satellite,4.426864656032781,onion,26,4
era5_tmin,0.02877811827135299,Climate,4.128837343521144,onion,26,5
cold_storage_n_facilities,0.02742718333544051,Infrastructure,3.9350167969701495,onion,26,6
wage_agri_women,0.02274103124690729,Infrastructure,3.262687926885,onion,26,7
price_lag_1,0.01969200746841509,Price,2.8252401716419437,onion,26,8
wpi_vegetables_total,0.019235642812416565,Macro,2.759764888783524,onion,26,9
wage_agri_men,0.01721605014679909,Infrastructure,2.470011071738321,onion,26,10
price_lag_26,0.016897404128905887,Price,2.4242944767324754,onion,26,11
year_trend,0.01674387083899214,Price,2.4022668384104606,onion,26,12
price_roll_mean_13,0.01535640635342453,Price,2.2032053456886302,onion,26,13
crude_oil_usd_bbl,0.011949962238174358,Macro,1.7144779890544988,onion,26,14
