crop,horizon_weeks,n_markets_tested,pct_significant,n_sig_M6_better,n_sig_M0_better,fisher_combined_p
tomato,1,1213,37.1,16,434,0.0
tomato,4,1183,15.0,12,166,0.0
tomato,13,1146,14.1,139,23,0.0
tomato,26,1047,18.9,195,3,0.0
onion,1,591,19.8,99,18,0.0
onion,4,573,13.8,74,5,0.0
onion,13,540,6.9,11,26,0.038648
onion,26,495,6.1,20,10,0.007475
potato,1,86,72.1,0,62,0.0
potato,4,86,2.3,0,2,0.992197
potato,13,85,43.5,1,36,0.0
potato,26,85,4.7,2,2,0.0
