crop,market_id,market,horizon_weeks,n,mape,wape,diff_pts
onion,98.0,Udhampur APMC,13,228,30.79,30.92,-0.13
onion,98.0,Udhampur APMC,26,215,27.79,31.68,-3.9
onion,99.0,Bangalore APMC,1,205,18.28,18.28,0.01
onion,99.0,Bangalore APMC,4,199,24.14,24.4,-0.26
onion,99.0,Bangalore APMC,13,181,35.81,37.27,-1.46
onion,99.0,Bangalore APMC,26,155,32.49,36.39,-3.9
onion,101.0,Belgaum APMC,1,205,18.12,18.98,-0.86
onion,101.0,Belgaum APMC,4,198,25.07,26.74,-1.67
onion,101.0,Belgaum APMC,13,181,33.23,36.59,-3.36
onion,101.0,Belgaum APMC,26,160,31.82,37.52,-5.7
onion,105.0,Bijapur APMC,1,204,21.25,20.61,0.64
onion,105.0,Bijapur APMC,4,198,30.97,29.13,1.85
onion,105.0,Bijapur APMC,13,180,40.98,37.15,3.82
onion,105.0,Bijapur APMC,26,154,34.81,33.79,1.02
onion,106.0,Davangere APMC,1,240,16.0,15.03,0.97
onion,106.0,Davangere APMC,4,237,21.66,20.9,0.76
onion,106.0,Davangere APMC,13,228,33.75,33.7,0.05
onion,106.0,Davangere APMC,26,215,36.74,36.92,-0.18
onion,108.0,Hubli (Amaragol) APMC,1,240,21.06,19.5,1.56
onion,108.0,Hubli (Amaragol) APMC,4,237,33.13,28.45,4.68
onion,108.0,Hubli (Amaragol) APMC,13,228,44.46,37.13,7.33
onion,108.0,Hubli (Amaragol) APMC,26,215,35.22,29.76,5.46
onion,115.0,Mysore (Bandipalya) APMC,1,229,20.46,19.17,1.3
onion,115.0,Mysore (Bandipalya) APMC,4,223,25.32,25.8,-0.49
onion,115.0,Mysore (Bandipalya) APMC,13,211,31.73,35.44,-3.71
onion,115.0,Mysore (Bandipalya) APMC,26,198,37.88,40.82,-2.94
onion,116.0,Raichur APMC,1,139,21.65,18.8,2.85
onion,116.0,Raichur APMC,4,130,32.0,26.51,5.49
onion,116.0,Raichur APMC,13,103,52.51,48.8,3.71
onion,116.0,Raichur APMC,26,64,37.45,38.47,-1.02
onion,126.0,Aluva APMC,1,240,12.05,11.96,0.09
onion,126.0,Aluva APMC,4,237,18.13,18.81,-0.68
onion,126.0,Aluva APMC,13,228,25.76,26.08,-0.32
onion,126.0,Aluva APMC,26,215,31.29,33.31,-2.02
onion,128.0,Thalasserry APMC,1,109,10.73,10.84,-0.11
onion,128.0,Thalasserry APMC,4,106,17.72,17.34,0.38
onion,128.0,Thalasserry APMC,13,97,30.16,29.03,1.13
onion,128.0,Thalasserry APMC,26,84,30.59,28.97,1.62
onion,129.0,Kannur APMC,1,240,12.51,12.73,-0.22
onion,129.0,Kannur APMC,4,237,19.26,20.06,-0.8
onion,129.0,Kannur APMC,13,228,27.25,27.63,-0.38
onion,129.0,Kannur APMC,26,215,30.34,33.34,-3.0
onion,132.0,Kottayam APMC,1,239,11.56,12.28,-0.72
onion,132.0,Kottayam APMC,4,236,16.37,17.2,-0.83
onion,132.0,Kottayam APMC,13,227,21.61,22.7,-1.09
onion,132.0,Kottayam APMC,26,214,25.01,28.02,-3.01
onion,134.0,Manjeri APMC,1,240,12.33,12.2,0.13
onion,134.0,Manjeri APMC,4,237,19.85,19.88,-0.03
onion,134.0,Manjeri APMC,13,228,32.09,30.93,1.16
onion,134.0,Manjeri APMC,26,215,35.14,36.33,-1.19
onion,135.0,Palakkad APMC,1,240,13.2,13.6,-0.41
onion,135.0,Palakkad APMC,4,237,20.13,21.13,-1.0
onion,135.0,Palakkad APMC,13,228,24.27,26.6,-2.33
onion,135.0,Palakkad APMC,26,215,28.32,32.2,-3.88
onion,136.0,Koduvayoor APMC,1,240,14.02,14.23,-0.21
onion,136.0,Koduvayoor APMC,4,237,19.07,19.96,-0.89
onion,136.0,Koduvayoor APMC,13,228,23.12,24.74,-1.62
onion,136.0,Koduvayoor APMC,26,215,26.4,29.54,-3.13
onion,139.0,Thrissur APMC,1,240,15.44,16.43,-0.99
onion,139.0,Thrissur APMC,4,237,22.88,24.52,-1.64
onion,139.0,Thrissur APMC,13,228,34.83,36.32,-1.49
onion,139.0,Thrissur APMC,26,215,37.59,42.77,-5.18
onion,140.0,Kodungalloor APMC,1,228,14.88,14.78,0.1
onion,140.0,Kodungalloor APMC,4,222,19.89,20.35,-0.46
onion,140.0,Kodungalloor APMC,13,208,28.33,28.16,0.17
onion,140.0,Kodungalloor APMC,26,195,31.46,33.63,-2.17
onion,145.0,Ahilyanagar APMC,1,240,20.72,19.95,0.77
onion,145.0,Ahilyanagar APMC,4,237,29.28,27.83,1.45
onion,145.0,Ahilyanagar APMC,13,228,46.13,42.4,3.73
onion,145.0,Ahilyanagar APMC,26,215,55.79,46.81,8.98
onion,149.0,Dhule APMC,1,240,22.01,20.03,1.98
onion,149.0,Dhule APMC,4,237,33.22,30.45,2.77
onion,149.0,Dhule APMC,13,228,49.91,45.93,3.98
onion,149.0,Dhule APMC,26,215,55.83,50.21,5.63
onion,151.0,Jalgaon APMC,1,240,22.57,20.41,2.15
onion,151.0,Jalgaon APMC,4,237,34.8,30.56,4.24
onion,151.0,Jalgaon APMC,13,228,53.87,47.44,6.44
onion,151.0,Jalgaon APMC,26,215,57.19,48.07,9.13
onion,152.0,Kolhapur APMC,1,240,17.02,16.72,0.29
