crop,week_start,label,episode,score_fullsample,score_heldout
tomato,2018-01-01,0,,1.4601614653264238e-05,
tomato,2018-01-08,0,,2.529608595429537e-05,
tomato,2018-01-15,0,,2.372571733476663e-05,
tomato,2018-01-22,0,,5.332009004004503e-05,
tomato,2018-01-29,0,,1.8849994476776446e-05,
tomato,2018-02-05,0,,0.0001280214538663081,
tomato,2018-02-12,0,,5.052480361997805e-05,
tomato,2018-02-19,0,,0.0003705819934897437,
tomato,2018-02-26,0,,5.121058725696687e-05,
tomato,2018-03-05,0,,0.0007013143761894358,
tomato,2018-03-12,0,,0.00023355095501514147,
tomato,2018-03-19,0,,0.00024509419941904975,
tomato,2018-03-26,0,,0.002243682150554091,
tomato,2018-04-02,0,,0.0020811405696752163,
tomato,2018-04-09,0,,0.005811682994978621,
tomato,2018-04-16,0,,0.002817841370253202,
tomato,2018-04-23,0,,0.01690528838716137,
tomato,2018-04-30,0,,0.003839290829786336,
tomato,2018-05-07,0,,0.0022455651426263683,
tomato,2018-05-14,0,,0.0012085538709134145,
tomato,2018-05-21,0,,0.13853468259214952,
tomato,2018-05-28,0,,0.2020652080744709,
tomato,2018-06-04,0,,0.42542369576252054,
tomato,2018-06-11,0,,0.661340284569359,
tomato,2018-06-18,0,,0.21090745833632174,
tomato,2018-06-25,0,,0.0005690748128487221,
tomato,2018-07-02,0,,0.0006721365551515724,
tomato,2018-07-09,0,,0.0005885258050288709,
tomato,2018-07-16,0,,0.0008164246719485285,
tomato,2018-07-23,0,,0.0006034639754528035,
tomato,2018-07-30,0,,0.002272623088388992,
tomato,2018-08-06,0,,0.0002422417670668496,
tomato,2018-08-13,0,,0.001600047458178567,
tomato,2018-08-20,0,,0.003155700325260271,
tomato,2018-08-27,0,,0.0013458801379258715,
tomato,2018-09-03,0,,0.001309606638661471,
tomato,2018-09-10,0,,0.00013532013023441673,
tomato,2018-09-17,0,,0.0009177265458604596,
tomato,2018-09-24,0,,0.002311925801589816,
tomato,2018-10-01,0,,0.0018185006172893132,
tomato,2018-10-08,0,,0.010865774238072392,
tomato,2018-10-15,0,,0.003970752020440933,
tomato,2018-10-22,0,,0.00930326537677509,
tomato,2018-10-29,0,,0.0007816269351327086,
tomato,2018-11-05,0,,0.00046720834689916753,
tomato,2018-11-12,0,,6.914403054410287e-05,
tomato,2018-11-19,0,,6.914403054410287e-05,
tomato,2018-11-26,0,,6.426981409253835e-05,
tomato,2018-12-03,0,,0.00017424598705824033,
tomato,2018-12-10,0,,3.778696546887305e-05,
tomato,2018-12-17,0,,3.70296458091215e-05,
tomato,2018-12-24,0,,5.870195996085228e-05,
tomato,2018-12-31,0,,0.00012670312747821666,
tomato,2019-01-07,0,,8.666477054044961e-05,
tomato,2019-01-14,0,,0.00016073547612025687,
tomato,2019-01-21,0,,2.241813935505333e-05,
tomato,2019-01-28,0,,5.526920824503912e-05,
tomato,2019-02-04,0,,3.872960653951018e-05,
tomato,2019-02-11,0,,3.107350352670833e-05,
tomato,2019-02-18,0,,4.1318201997063105e-05,
tomato,2019-02-25,0,,3.9264800167687425e-06,
tomato,2019-03-04,0,,1.0317698489409632e-05,
tomato,2019-03-11,0,,4.364185235278193e-05,
tomato,2019-03-18,0,,0.00013295776948485114,
tomato,2019-03-25,0,,0.0008513859502686801,
tomato,2019-04-01,0,,0.0020186627691934425,
tomato,2019-04-08,0,,7.997398120646386e-05,
tomato,2019-04-15,0,,8.915124498389042e-05,
tomato,2019-04-22,0,,2.1588046734720024e-05,
tomato,2019-04-29,0,,0.00010954711317282033,
tomato,2019-05-06,0,,0.002284017245779786,
tomato,2019-05-13,0,,0.00013133309080669574,
tomato,2019-05-20,0,,0.006604490740295672,
tomato,2019-05-27,0,,0.02939091708019387,
tomato,2019-06-03,0,,0.014604597162950327,
tomato,2019-06-10,0,,0.0007844288425684855,
tomato,2019-06-17,0,,0.000534202939904783,
tomato,2019-06-24,0,,0.01981415243538831,
