crop,horizon_weeks,market_id,market,DM_stat,p_value,mean_d,n,better_model,significant_5pct
tomato,1,228.0,Baghapurana APMC,1.33,0.1849,45210.236806,229,M6,False
tomato,1,230.0,Muktsar APMC,0.1137,0.9096,5322.424185,186,M6,False
tomato,1,231.0,Malout APMC,-0.8477,0.3974,-36302.334054,240,M0,False
tomato,1,233.0,Patran APMC,-1.0706,0.2854,-35998.51901,240,M0,False
tomato,1,234.0,Samana APMC,3.1294,0.002,89592.641496,223,M6,True
tomato,1,235.0,Nabha APMC,-1.1973,0.2325,-52964.770352,213,M0,False
tomato,1,236.0,Barnala APMC,-2.0456,0.0422,-104755.929269,181,M0,True
tomato,1,237.0,Dhuri APMC,-1.115,0.2661,-37084.201009,213,M0,False
tomato,1,238.0,Malerkotla APMC,-0.1183,0.906,-4087.324363,174,M0,False
tomato,1,239.0,Sunam APMC,-1.9717,0.05,-63375.103625,204,M0,False
tomato,1,240.0,Bhawanigarh APMC,0.5613,0.5751,21257.255607,240,M6,False
tomato,1,244.0,Alwar APMC,-1.7941,0.0808,-136234.302648,39,M0,False
tomato,1,247.0,Baran APMC,0.1839,0.8544,11539.060321,116,M6,False
tomato,1,250.0,Bhilwara APMC,0.4182,0.6762,14576.967159,240,M6,False
tomato,1,261.0,Jaipur (F&V) APMC,-1.1194,0.2641,-40199.504501,229,M0,False
tomato,1,266.0,Jodhpur (F&V) APMC,2.0052,0.0532,97326.09201,34,M6,False
tomato,1,292.0,Ulundurpettai APMC,-0.8225,0.4126,-65447.190798,111,M0,False
tomato,1,295.0,Bishalgarh APMC,2.6517,0.0086,330201.413598,215,M6,True
tomato,1,296.0,Teliamura APMC,1.6059,0.1097,122775.821947,231,M6,False
tomato,1,297.0,Agra APMC,-1.3173,0.189,-37877.306385,240,M0,False
tomato,1,298.0,Prayagraj APMC,-1.2958,0.1963,-26991.949044,240,M0,False
tomato,1,299.0,Bahraich APMC,-2.5896,0.0102,-80602.583662,240,M0,True
tomato,1,300.0,Ballia APMC,-1.9322,0.0546,-47575.08647,224,M0,False
tomato,1,301.0,Barabanki APMC,-2.0727,0.0393,-51658.902497,240,M0,True
tomato,1,302.0,Bareilly APMC,-3.2083,0.0015,-89497.853522,240,M0,True
tomato,1,303.0,Dehradoon APMC,0.658,0.5112,26253.156348,218,M6,False
tomato,1,305.0,Farukhabad APMC,-1.5013,0.1347,-45857.273134,227,M0,False
tomato,1,306.0,Ghaziabad APMC,-1.4631,0.1448,-39089.44495,226,M0,False
tomato,1,307.0,Gorakhpur APMC,-2.1594,0.0318,-61011.952634,240,M0,True
tomato,1,308.0,Hardoi APMC,0.377,0.7065,10892.255313,226,M6,False
tomato,1,309.0,Etawah APMC,-0.7792,0.4366,-20607.274757,240,M0,False
tomato,1,310.0,Jaunpur APMC,-1.6511,0.1,-42696.700519,240,M0,False
tomato,1,311.0,Kanpur(Grain) APMC,-2.2604,0.0247,-66771.375504,240,M0,True
tomato,1,313.0,Lakhimpur APMC,-1.3841,0.1676,-35594.696207,239,M0,False
tomato,1,314.0,Lalitpur APMC,-1.2264,0.2214,-33896.404633,221,M0,False
tomato,1,315.0,Lucknow APMC,-1.122,0.263,-30470.406001,240,M0,False
tomato,1,316.0,Mainpuri APMC,-2.081,0.0387,-65521.379431,209,M0,True
tomato,1,317.0,Meerut APMC,0.7767,0.4382,61214.948691,224,M6,False
tomato,1,318.0,Muradabad APMC,-2.4414,0.0154,-63489.44127,228,M0,True
tomato,1,319.0,Kashipur APMC,-0.4622,0.6444,-15088.384008,238,M0,False
tomato,1,320.0,Pilibhit APMC,-2.9694,0.0033,-79756.620535,240,M0,True
tomato,1,321.0,Saharanpur APMC,-1.8675,0.0631,-49947.295979,224,M0,False
tomato,1,322.0,Shahjahanpur APMC,-2.7144,0.0072,-80389.282889,224,M0,True
tomato,1,324.0,Sitapur APMC,-1.2278,0.2208,-32140.138753,230,M0,False
tomato,1,326.0,Rudrapur APMC,-1.3541,0.177,-69989.431829,235,M0,False
tomato,1,328.0,Barasat APMC,1.5822,0.1149,74876.412127,240,M6,False
tomato,1,331.0,Kalna APMC,2.6356,0.0089,126258.699078,240,M6,True
tomato,1,333.0,Coochbehar APMC,0.4424,0.6586,23838.314234,240,M6,False
tomato,1,334.0,Pandua APMC,0.6455,0.5193,28365.773842,240,M6,False
tomato,1,406.0,Durg APMC,-0.0865,0.9311,-3555.926432,240,M0,False
tomato,1,414.0,Raigarh APMC,0.061,0.9514,2660.577763,240,M6,False
tomato,1,423.0,APMC Keshopur,0.2225,0.8241,11892.93241,240,M6,False
tomato,1,424.0,APMC Shahdara,-0.8682,0.3863,-46884.338004,199,M0,False
tomato,1,434.0,Ankleshwar APMC,0.0636,0.9493,2329.465559,240,M6,False
tomato,1,450.0,Vadhvan APMC,-0.4546,0.6498,-14720.596773,240,M0,False
tomato,1,452.0,Panipat APMC,0.4823,0.63,14028.861216,240,M6,False
tomato,1,454.0,Sonepat APMC,-0.5731,0.5671,-17539.725514,239,M0,False
tomato,1,455.0,Rohtak APMC,-0.8367,0.4036,-23674.164979,236,M0,False
tomato,1,456.0,Jhajjar APMC,-0.5252,0.5999,-31182.002465,240,M0,False
tomato,1,457.0,Rewari APMC,-0.8165,0.415,-35231.152361,240,M0,False
tomato,1,459.0,Gurgaon APMC,0.7782,0.4372,23890.315486,240,M6,False
tomato,1,462.0,PMY Una,-1.0637,0.2886,-52893.917744,240,M0,False
tomato,1,463.0,PMY Chamba,0.6486,0.5172,29620.275953,240,M6,False
tomato,1,464.0,PMY Bilaspur,-1.3315,0.1843,-46631.418555,240,M0,False
tomato,1,465.0,SMY Dhanotu,0.281,0.7789,9539.046164,240,M6,False
tomato,1,466.0,PMY Hamirpur,-1.1504,0.2511,-54069.385915,240,M0,False
tomato,1,467.0,PMY Dhalli Shimla,-1.1361,0.2571,-46082.590307,240,M0,False
tomato,1,468.0,SMY Palampur,-0.4686,0.6398,-22176.591888,240,M0,False
tomato,1,471.0,SMY Bhuntar,-0.9881,0.3241,-39269.698769,240,M0,False
tomato,1,472.0,Narwal Jammu (F&V),-1.3064,0.1927,-57269.343504,240,M0,False
tomato,1,489.0,Doddaballapur APMC,-1.4021,0.1624,-57142.846856,214,M0,False
tomato,1,491.0,Srinivasapur APMC,-0.3158,0.7525,-21305.969147,206,M0,False
tomato,1,492.0,Gauribidanur APMC,0.5204,0.6034,31153.019835,215,M6,False
tomato,1,497.0,Gundlupet APMC,0.1776,0.8592,10706.559218,240,M6,False
tomato,1,499.0,K.R. Pet APMC,0.3122,0.7552,11612.720857,240,M6,False
tomato,1,515.0,Palayam Market,-0.2772,0.7819,-14769.194085,240,M0,False
tomato,1,530.0,Morena APMC,-0.89,0.375,-68932.604827,137,M0,False
tomato,1,555.0,Pandharpur APMC,-0.5837,0.5601,-16899.78116,209,M0,False
tomato,1,557.0,Chattrapati Sambhajinagar APMC,0.4974,0.6194,27457.009374,240,M6,False
tomato,1,591.0,Koraput APMC,1.2918,0.1979,75614.35685,205,M6,False
tomato,1,592.0,Baripada APMC,-0.0599,0.9523,-3654.146997,240,M0,False
tomato,1,593.0,Padampur APMC,-0.4961,0.6205,-34402.007758,167,M0,False
tomato,1,594.0,Khariar Road APMC,0.6639,0.5074,40869.208583,240,M6,False
tomato,1,595.0,Bolangir APMC,1.9709,0.0503,126960.242759,173,M6,False
tomato,1,598.0,Patti APMC,0.4149,0.6786,13508.409216,240,M6,False
tomato,1,600.0,Gurdaspur APMC,0.3931,0.6947,11836.460881,180,M6,False
tomato,1,603.0,Bathinda APMC,1.1746,0.2413,46889.793348,240,M6,False
tomato,1,605.0,Raman APMC,-1.9152,0.0567,-87333.334604,240,M0,False
tomato,1,606.0,Faridkot APMC,-0.4112,0.6814,-14296.176701,167,M0,False
tomato,1,608.0,Firozepur City APMC,0.5288,0.5975,25295.120811,224,M6,False
tomato,1,613.0,Samrala APMC,0.462,0.6446,18879.625079,210,M6,False
tomato,1,614.0,Phagwara APMC,-1.9718,0.0499,-76876.322285,221,M0,True
tomato,1,615.0,Budalada APMC,-0.7173,0.4739,-22488.603462,239,M0,False
tomato,1,617.0,Giddarbaha APMC,-1.3889,0.1664,-43913.27733,207,M0,False
tomato,1,619.0,Dudhansadhan APMC,-1.4448,0.1498,-48416.879465,240,M0,False
tomato,1,621.0,Ropar APMC,-3.4153,0.0016,-568042.917046,37,M0,True
tomato,1,627.0,Churu APMC,-0.1215,0.9034,-3716.022132,240,M0,False
tomato,1,631.0,Jalore APMC,0.5108,0.6099,18313.842813,240,M6,False
tomato,1,636.0,Jhunjhunu APMC,-0.8494,0.3967,-37408.107875,193,M0,False
tomato,1,638.0,Sikar APMC,-1.2446,0.2145,-42402.682735,240,M0,False
tomato,1,642.0,Abu Road APMC,-0.6231,0.5338,-29536.371908,240,M0,False
tomato,1,647.0,Buland Shahr APMC,-2.0157,0.045,-52062.718651,240,M0,True
tomato,1,649.0,Baraut APMC,0.4275,0.6694,9463.215032,227,M6,False
tomato,1,650.0,Shamli APMC,-2.2432,0.0258,-58554.706161,230,M0,True
tomato,1,651.0,Khatauli APMC,0.9398,0.3485,49999.764348,185,M6,False
tomato,1,652.0,Etah APMC,-1.6246,0.1056,-47114.153814,240,M0,False
tomato,1,653.0,Mathura APMC,-2.6584,0.0084,-69289.537328,240,M0,True
tomato,1,654.0,Rampur APMC,-2.7467,0.0065,-79710.613012,210,M0,True
tomato,1,655.0,Badayoun APMC,-2.2526,0.0252,-60268.510641,239,M0,True
tomato,1,656.0,Chandausi APMC,-2.1239,0.0347,-53375.228923,239,M0,True
tomato,1,657.0,Raibareilly APMC,-0.4667,0.6411,-12956.80078,238,M0,False
tomato,1,658.0,Gonda APMC,-3.2602,0.0013,-117779.613711,239,M0,True
tomato,1,659.0,Sultanpur APMC,-0.7275,0.4677,-18265.28169,223,M0,False
tomato,1,660.0,Pratapgarh APMC,-2.57,0.0108,-60616.75567,240,M0,True
tomato,1,661.0,Devariya APMC,-1.8023,0.0728,-51707.703907,225,M0,False
tomato,1,662.0,Basti APMC,-2.3313,0.0206,-61951.715204,238,M0,True
tomato,1,663.0,Azamgarh APMC,-0.6131,0.5404,-25011.444556,240,M0,False
tomato,1,664.0,Mirzapur APMC,-2.1916,0.0294,-59193.655062,228,M0,True
tomato,1,666.0,Jhansi APMC,-0.4884,0.6257,-15400.930107,230,M0,False
tomato,1,667.0,Rishikesh APMC,-0.8016,0.4236,-24846.597278,240,M0,False
tomato,1,668.0,Vikasnagar APMC,0.3317,0.7404,12300.289902,240,M6,False
tomato,1,669.0,Khateema APMC,0.2127,0.8317,4436.65669,239,M6,False
tomato,1,670.0,Burdwan APMC,1.6845,0.0934,83798.444705,240,M6,False
tomato,1,671.0,Medinipur(West) APMC,-0.909,0.3643,-46971.993728,240,M0,False
tomato,1,672.0,Birbhum APMC,0.1555,0.8766,8707.374234,240,M6,False
tomato,1,676.0,Alipurduar APMC,1.3631,0.1741,108730.683613,240,M6,False
tomato,1,681.0,Vadaseri APMC,-1.8844,0.0622,-137092.341473,111,M0,False
tomato,1,682.0,Muzzafarnagar APMC,-2.1541,0.0323,-55705.738067,219,M0,True
tomato,1,683.0,Panisagar APMC,0.2399,0.8106,12049.429997,231,M6,False
tomato,1,690.0,Channapatna APMC,-1.7277,0.0861,-88128.954081,154,M0,False
tomato,1,707.0,Chamarajanagar APMC,-2.047,0.0418,-63302.964153,240,M0,True
tomato,1,709.0,Chikkamagaluru APMC,-0.9934,0.3215,-44908.863011,240,M0,False
tomato,1,728.0,Kalaburagi APMC,-2.1048,0.0364,-63438.899948,239,M0,True
tomato,1,735.0,Hassan APMC,0.5497,0.5832,35698.071965,202,M6,False
tomato,1,742.0,Chickkaballapura APMC,0.0585,0.9534,2566.724674,240,M6,False
tomato,1,743.0,Chintamani APMC,-1.4355,0.1524,-41244.054109,240,M0,False
tomato,1,744.0,Bangarpet APMC,-1.1223,0.263,-49409.082077,214,M0,False
tomato,1,745.0,Ramanagara APMC,-1.737,0.0837,-81632.553726,240,M0,False
tomato,1,753.0,Shimoga APMC,-0.0627,0.95,-3910.943035,240,M0,False
tomato,1,793.0,Lalru APMC,-0.326,0.7447,-7919.563207,240,M0,False
tomato,1,794.0,Morinda APMC,0.5225,0.602,13019.504271,175,M6,False
tomato,1,795.0,Fatehpur APMC,-1.3594,0.1753,-32993.507481,240,M0,False
tomato,1,796.0,Auraiya APMC,-1.835,0.0678,-50985.638306,240,M0,False
tomato,1,797.0,Mahoba APMC,-1.6909,0.0923,-46850.584726,212,M0,False
tomato,1,799.0,Ramkrishanpur(Howrah) APMC,0.5087,0.6114,27988.242359,240,M6,False
tomato,1,813.0,Sangamner APMC,-0.4085,0.6833,-19368.772658,228,M0,False
tomato,1,816.0,Firozabad APMC,-1.8585,0.0643,-54583.59267,239,M0,False
tomato,1,820.0,Ghatal APMC,-0.4226,0.6733,-33060.064026,131,M0,False
tomato,1,821.0,Champadanga APMC,0.9546,0.3407,46691.284372,240,M6,False
tomato,1,823.0,Udupi APMC,-1.4826,0.1398,-81293.799901,190,M0,False
tomato,1,892.0,Ibrahimputnam APMC,0.1708,0.8645,8092.940428,212,M6,False
tomato,1,987.0,Pattikonda APMC,-0.709,0.4793,-43392.512432,168,M0,False
tomato,1,1048.0,Venkateswarnagar APMC,-0.3454,0.7301,-18097.471372,231,M0,False
tomato,1,1061.0,Udumalpet APMC,-0.5734,0.5675,-44611.098415,111,M0,False
tomato,1,1070.0,Haldwani APMC,-1.0643,0.2883,-41070.964699,240,M0,False
tomato,1,1071.0,Haridwar Union APMC,0.2861,0.7751,11339.636924,239,M6,False
tomato,1,1072.0,Ramnagar APMC,-0.2054,0.8374,-10824.351006,223,M0,False
tomato,1,1073.0,Roorkee APMC,-0.8652,0.3878,-23271.963581,240,M0,False
tomato,1,1074.0,Kotadwara APMC,-0.7852,0.4331,-26567.846761,240,M0,False
tomato,1,1077.0,Manglaur APMC,1.0943,0.2749,43398.152761,240,M6,False
