crop,horizon_weeks,baseline,richer,comparison,is_headline,DM_stat,p_value,mean_d,n,better_model,significant_5pct
onion,26,M1,M2,M1 vs M2,False,-1.1246,0.262,-169251.613348,217,baseline,False
onion,26,M2,M3,M2 vs M3,False,1.7041,0.0898,165038.766021,217,richer,False
onion,26,M3,M4,M3 vs M4,False,-0.9357,0.3505,-21085.772202,217,baseline,False
onion,26,M4,M5,M4 vs M5,False,-1.8443,0.0665,-80041.839505,217,baseline,False
onion,26,M5,M6,M5 vs M6,False,-0.9903,0.3231,-43014.355696,217,baseline,False
potato,1,M0,M6,M0 vs M6,True,-1.205,0.2294,-2648.674211,242,baseline,False
potato,1,M0,M4,M0 vs M4,False,2.3677,0.0187,4912.906357,242,richer,True
potato,1,M0,M1,M0 vs M1,False,1.2386,0.2167,921.773889,242,richer,False
potato,1,M1,M2,M1 vs M2,False,-3.6834,0.0003,-7872.306061,242,baseline,True
potato,1,M2,M3,M2 vs M3,False,5.3005,0.0,7987.607099,242,richer,True
potato,1,M3,M4,M3 vs M4,False,3.8978,0.0001,3875.831429,242,richer,True
potato,1,M4,M5,M4 vs M5,False,-4.4594,0.0,-3255.064602,242,baseline,True
potato,1,M5,M6,M5 vs M6,False,-4.6514,0.0,-4306.515966,242,baseline,True
potato,4,M0,M6,M0 vs M6,True,-0.0544,0.9567,-1049.877066,239,baseline,False
potato,4,M0,M4,M0 vs M4,False,-0.1056,0.916,-2242.644229,239,baseline,False
potato,4,M0,M1,M0 vs M1,False,-1.3505,0.1781,-3689.36127,239,baseline,False
potato,4,M1,M2,M1 vs M2,False,-1.1214,0.2632,-15170.92155,239,baseline,False
potato,4,M2,M3,M2 vs M3,False,1.829,0.0686,25715.313957,239,richer,False
potato,4,M3,M4,M3 vs M4,False,-1.2258,0.2215,-9097.675367,239,baseline,False
potato,4,M4,M5,M4 vs M5,False,1.5891,0.1134,10147.069764,239,richer,False
potato,4,M5,M6,M5 vs M6,False,-2.0891,0.0378,-8954.3026,239,baseline,True
potato,13,M0,M6,M0 vs M6,True,-2.167,0.0313,-151667.049805,230,baseline,True
potato,13,M0,M4,M0 vs M4,False,-2.4796,0.0139,-131558.347834,230,baseline,True
potato,13,M0,M1,M0 vs M1,False,0.7589,0.4487,21156.322045,230,richer,False
