crop,horizon_weeks,market_id,market,DM_stat,p_value,mean_d,n,better_model,significant_5pct
tomato,13,1389.0,Rawatsar APMC,0.0095,0.9924,528.702027,230,M8,False
tomato,13,1391.0,Suratgarh APMC,-0.4696,0.6392,-48882.230554,188,M6,False
tomato,13,1416.0,Chittorgarh APMC,0.9811,0.3284,341969.181312,129,M8,False
tomato,13,1418.0,Rajsamand APMC,0.3279,0.7433,23240.744741,230,M8,False
tomato,13,1427.0,Zira APMC,0.2652,0.7911,25743.01953,230,M8,False
tomato,13,1428.0,Dinanagar APMC,0.569,0.5699,42911.061983,230,M8,False
tomato,13,1432.0,Dasuya APMC,0.3191,0.7501,70078.0615,160,M8,False
tomato,13,1433.0,Garh Shankar APMC,0.5203,0.6033,32401.537582,230,M8,False
tomato,13,1434.0,Tanda Urmur APMC,0.6546,0.5135,62591.630753,202,M8,False
tomato,13,1438.0,Lohian Khas APMC,0.0173,0.9862,875.544494,190,M8,False
tomato,13,1441.0,Doraha APMC,1.0087,0.3142,140244.167437,230,M8,False
tomato,13,1446.0,Sahnewal APMC,0.8616,0.3898,105478.639384,230,M8,False
tomato,13,1452.0,Bariwala APMC,-1.1864,0.2368,-67236.126947,214,M6,False
tomato,13,1456.0,Rajpura APMC,-0.956,0.3401,-39048.872363,230,M6,False
tomato,13,1457.0,Chamkaur Sahib APMC,-0.7777,0.4377,-63996.767589,188,M6,False
tomato,13,1458.0,Kharar APMC,1.5518,0.1221,112613.251455,230,M8,False
tomato,13,1464.0,Bassi Pathana APMC,0.9344,0.3511,100872.922742,230,M8,False
tomato,13,1466.0,Khamano APMC,1.4752,0.1415,238075.375784,230,M8,False
tomato,13,1469.0,Vellore APMC,-1.4602,0.1474,-260684.724921,101,M6,False
tomato,13,1505.0,Parlakhemundi APMC,-0.4405,0.6601,-54725.314389,190,M6,False
tomato,13,1506.0,Bhanjanagar APMC,-0.6944,0.4881,-60519.030491,230,M6,False
tomato,13,1507.0,Boudh APMC,0.2489,0.8037,50520.972199,179,M8,False
tomato,13,1510.0,Sargipali APMC,-0.6333,0.5272,-67499.94905,230,M6,False
tomato,13,1511.0,Udala APMC,-0.3321,0.7401,-57274.769794,230,M6,False
tomato,13,1513.0,Jaleswar APMC,-0.2798,0.78,-39256.536727,185,M6,False
tomato,13,1516.0,Kamakhyanagar APMC,0.1732,0.8627,64881.328484,230,M8,False
tomato,13,1519.0,Betnoti APMC,-0.7059,0.4813,-37051.43259,159,M6,False
tomato,13,1520.0,Keonjhar APMC,0.9088,0.3644,175150.477561,230,M8,False
tomato,13,1523.0,Balugaon APMC,0.2747,0.7838,35322.420775,230,M8,False
tomato,13,1525.0,Birmaharajpur APMC,0.982,0.3275,319253.834816,167,M8,False
tomato,13,1527.0,Hinjilicut APMC,0.1442,0.8855,15499.729166,199,M8,False
tomato,13,1537.0,Porbandar APMC,-1.4538,0.1474,-122058.965134,230,M6,False
tomato,13,1569.0,Bhagta Bhai Ka APMC,-0.335,0.7379,-21662.443349,230,M6,False
tomato,13,1570.0,Talwandi Sabo APMC,-0.3837,0.7016,-16332.769473,221,M6,False
tomato,13,1573.0,Mamdot APMC,1.3883,0.1669,123709.644421,169,M8,False
tomato,13,1579.0,Bilga APMC,-0.7382,0.4613,-28659.591407,190,M6,False
tomato,13,1587.0,Dera Bassi APMC,-0.7619,0.4469,-42053.38542,216,M6,False
tomato,13,1593.0,Lehra Gaga APMC,0.9376,0.3494,97897.332511,230,M8,False
tomato,13,1595.0,Sangrur APMC,-1.8896,0.0609,-94373.511144,137,M6,False
tomato,13,1598.0,Palitana APMC,-0.2722,0.7859,-24319.325185,150,M6,False
tomato,13,1602.0,Mulbagal APMC,-0.5855,0.5588,-49437.905341,230,M6,False
tomato,13,1606.0,Rayya APMC,-0.2956,0.7678,-23236.984045,230,M6,False
tomato,13,1610.0,Ajmer(F&V) APMC,-0.1044,0.9169,-5225.290776,230,M6,False
tomato,13,1614.0,Sriganganagar (F&V) APMC,-0.3567,0.7217,-18339.676353,190,M6,False
tomato,13,1626.0,Damnagar APMC,-0.0149,0.9882,-4012.050519,230,M6,False
tomato,13,1631.0,Panvel APMC,-0.5399,0.5898,-61892.367863,227,M6,False
tomato,13,1634.0,Rahuri APMC,-1.031,0.3038,-75029.950491,194,M6,False
tomato,13,1637.0,Akluj APMC,-7.6239,0.0,-64338.669894,127,M6,True
tomato,13,1651.0,Ratnagiri (Nachane) APMC,-0.1224,0.9027,-9685.679367,230,M6,False
tomato,13,1658.0,Patan APMC,0.5014,0.6166,19201.120336,230,M8,False
tomato,13,1663.0,Sitarganj APMC,-0.0098,0.9922,-586.334277,230,M6,False
tomato,13,1664.0,Jaspur(UC) APMC,-1.7055,0.0898,-75467.463525,189,M6,False
tomato,13,1700.0,Champaknagar APMC,0.9016,0.3682,611825.131204,230,M8,False
tomato,13,1702.0,Garjee APMC,0.7049,0.4816,239541.479258,230,M8,False
tomato,13,1715.0,Kopaganj APMC,0.6667,0.5056,26863.431673,230,M8,False
tomato,13,1716.0,Partaval APMC,-1.3721,0.1716,-31373.914791,198,M6,False
tomato,13,1717.0,Orai APMC,-0.187,0.8518,-4905.559041,230,M6,False
tomato,13,1718.0,Kannauj APMC,-1.0281,0.3051,-36279.673292,212,M6,False
tomato,13,1719.0,Robertsganj APMC,-0.9837,0.3263,-31897.085371,230,M6,False
tomato,13,1720.0,Aligarh APMC,-2.4184,0.0164,-51983.763365,230,M6,True
tomato,13,1721.0,Akbarpur APMC,-0.7117,0.4774,-32574.034472,230,M6,False
tomato,13,1722.0,Balrampur APMC,-1.4994,0.1352,-51417.419197,219,M6,False
tomato,13,1723.0,Chandoli APMC,-0.1642,0.8697,-6211.082391,213,M6,False
tomato,13,1724.0,Ajuha APMC,-0.8996,0.3693,-34734.740574,230,M6,False
tomato,13,1725.0,Banda APMC,-0.4468,0.6554,-9072.722632,214,M6,False
tomato,13,1726.0,Hapur APMC,-1.4164,0.158,-79521.291992,230,M6,False
tomato,13,1727.0,Naugarh APMC,0.6732,0.5015,23560.20751,220,M8,False
tomato,13,1729.0,Dadri APMC,-1.0906,0.2766,-84923.560287,230,M6,False
tomato,13,1730.0,Haathras APMC,-1.1709,0.2429,-27900.995476,230,M6,False
tomato,13,1731.0,Golagokarnath APMC,0.9058,0.366,68490.254564,230,M8,False
tomato,13,1732.0,Puranpur APMC,-0.5891,0.5564,-21851.629321,230,M6,False
tomato,13,1733.0,Bangarmau APMC,-0.396,0.6925,-11308.879477,208,M6,False
