variant,crop,fold,horizon_weeks,test_year,n_features,n_trees,RMSE,MAE,MAPE,R2,N,fit_sec
M1,onion,1,4,2022,32,20,605.0,445.3,29.13,0.6314,13697,2.7
M1,onion,1,13,2022,32,27,651.0,508.8,39.54,0.5499,13605,3.2
M1,onion,1,26,2022,32,185,728.5,580.5,41.83,0.4973,13575,8.6
M1,onion,2,1,2023,32,221,572.4,364.0,16.52,0.834,14061,9.7
M1,onion,2,4,2023,32,330,786.2,547.2,24.68,0.6839,13985,14.7
M1,onion,2,13,2023,32,234,1019.4,722.5,30.4,0.44,13813,10.2
M1,onion,2,26,2023,32,271,1225.3,916.0,33.93,0.0797,13619,11.6
M1,onion,3,1,2024,32,83,600.3,455.4,17.03,0.8306,14521,5.6
M1,onion,3,4,2024,32,82,889.4,724.4,26.22,0.6318,14464,5.8
M1,onion,3,13,2024,32,68,1130.4,930.5,31.7,0.3771,14295,6.3
M1,onion,3,26,2024,32,19,1409.5,1100.6,37.68,0.1383,14182,2.9
M1,onion,4,1,2025,32,87,461.1,359.8,20.0,0.8108,37303,6.1
M1,onion,4,4,2025,32,100,775.3,653.4,38.24,0.415,34952,6.5
M1,onion,4,13,2025,32,38,996.3,879.1,60.3,-0.137,28138,4.9
M1,onion,4,26,2025,32,18,1051.5,916.8,66.56,-0.2967,18519,3.8
M1,potato,1,1,2022,32,45,290.3,215.6,13.54,0.7106,4212,3.9
M1,potato,1,4,2022,32,25,397.4,326.4,21.06,0.4749,4205,3.2
M1,potato,1,13,2022,32,22,524.2,413.8,29.7,0.2606,4178,3.2
M1,potato,1,26,2022,32,193,475.7,367.6,28.27,0.3189,4171,9.6
M1,potato,2,1,2023,32,39,162.4,123.9,11.16,0.8169,4247,3.6
M1,potato,2,4,2023,32,25,238.4,184.8,16.65,0.5906,4245,2.9
M1,potato,2,13,2023,32,6,346.3,268.3,20.85,-0.13,4246,2.3
M1,potato,2,26,2023,32,171,416.1,289.6,18.73,0.2336,4249,8.1
M1,potato,3,1,2024,32,67,264.1,187.7,9.96,0.8334,4324,4.2
M1,potato,3,4,2024,32,107,429.2,315.5,16.57,0.5423,4318,6.4
M1,potato,3,13,2024,32,17,817.7,698.4,32.58,-0.5389,4308,3.2
M1,potato,3,26,2024,32,51,664.0,522.1,26.92,0.0681,4301,4.3
M1,potato,4,1,2025,32,179,196.2,150.9,13.02,0.5388,4114,9.7
M1,potato,4,4,2025,32,92,295.6,242.4,21.58,-0.1429,3856,6.2
M1,potato,4,13,2025,32,281,617.1,540.3,45.82,-4.2891,3128,13.6
M1,potato,4,26,2025,32,3,255.3,180.8,15.31,0.0876,2072,2.4
M2,tomato,1,1,2022,50,86,754.8,490.8,22.89,0.6622,28815,8.1
M2,tomato,1,4,2022,50,60,1120.0,760.6,34.89,0.2605,28671,7.7
M2,tomato,1,13,2022,50,50,1204.5,778.6,37.16,0.1716,28397,5.8
M2,tomato,1,26,2022,50,4,1203.4,835.1,51.94,0.0357,28250,3.8
M2,tomato,2,1,2023,50,42,1564.6,859.9,31.17,0.5344,29252,5.3
M2,tomato,2,4,2023,50,31,2137.2,1247.7,50.84,0.1164,29046,5.4
M2,tomato,2,13,2023,50,5,2400.5,1405.2,52.41,-0.1413,28683,3.6
M2,tomato,2,26,2023,50,817,2099.3,1230.8,41.12,0.0874,28375,32.7
M2,tomato,3,1,2024,50,52,999.7,749.4,30.71,0.5482,34408,6.6
M2,tomato,3,4,2024,50,14,1382.4,1023.2,42.33,0.1484,34270,2.5
M2,tomato,3,13,2024,50,28,1471.8,1031.8,39.53,0.0989,34012,4.7
M2,tomato,3,26,2024,50,50,1312.9,947.2,49.95,0.2155,33684,6.8
M2,tomato,4,1,2025,50,89,654.4,448.2,20.81,0.7587,37281,6.0
M2,tomato,4,4,2025,50,156,902.6,692.8,38.13,0.5497,34764,13.7
M2,tomato,4,13,2025,50,216,1016.2,745.4,33.73,0.4159,27729,14.2
M2,tomato,4,26,2025,50,1,1804.1,1398.6,39.6,-1.0354,18121,1.2
M2,onion,1,1,2022,50,60,414.8,317.3,19.99,0.8308,13749,1.6
M2,onion,1,4,2022,50,33,582.1,437.5,30.15,0.6587,13697,4.4
M2,onion,1,13,2022,50,725,716.4,577.6,43.42,0.455,13605,22.3
M2,onion,1,26,2022,50,209,613.8,472.2,34.06,0.6432,13575,9.8
M2,onion,2,1,2023,50,215,610.6,371.1,15.9,0.8112,14061,10.0
M2,onion,2,4,2023,50,214,888.6,592.7,24.59,0.5962,13985,7.5
M2,onion,2,13,2023,50,186,1204.6,821.1,31.7,0.218,13813,2.1
M2,onion,2,26,2023,50,279,1264.5,949.4,34.94,0.0199,13619,5.3
M2,onion,3,1,2024,50,64,600.3,447.7,16.47,0.8306,14521,5.7
M2,onion,3,4,2024,50,114,852.5,676.9,24.72,0.6618,14464,8.6
M2,onion,3,13,2024,50,50,1308.6,1027.2,30.55,0.1652,14295,3.1
M2,onion,3,26,2024,50,15,1559.8,1214.2,39.2,-0.0553,14182,0.8
M2,onion,4,1,2025,50,195,374.7,269.6,13.97,0.8751,37303,9.9
M2,onion,4,4,2025,50,100,584.0,470.8,27.92,0.6681,34952,7.3
M2,onion,4,13,2025,50,30,873.1,720.5,49.13,0.1268,28138,3.9
M2,onion,4,26,2025,50,16,1075.4,923.9,65.98,-0.3561,18519,3.4
M2,potato,1,1,2022,50,133,268.3,200.3,12.8,0.7528,4212,5.8
M2,potato,1,4,2022,50,244,418.9,338.8,23.01,0.4165,4205,10.2
M2,potato,1,13,2022,50,1,772.4,623.1,38.91,-0.6052,4178,1.8
M2,potato,1,26,2022,50,86,683.6,597.1,54.88,-0.4069,4171,4.6
M2,potato,2,1,2023,50,40,148.7,108.6,10.1,0.8465,4247,3.3
M2,potato,2,4,2023,50,23,228.5,169.7,15.62,0.6237,4245,2.5
M2,potato,2,13,2023,50,6,395.5,320.8,24.04,-0.4738,4246,2.0
M2,potato,2,26,2023,50,9,557.2,408.8,24.93,-0.3741,4249,2.2
M2,potato,3,1,2024,50,65,289.9,213.0,10.93,0.7993,4324,4.4
M2,potato,3,4,2024,50,121,417.6,333.9,17.22,0.5667,4318,6.3
M2,potato,3,13,2024,50,69,958.9,821.7,37.82,-1.116,4308,4.1
M2,potato,3,26,2024,50,104,784.4,621.8,30.94,-0.3005,4301,5.5
M2,potato,4,1,2025,50,135,213.1,169.3,14.64,0.456,4114,6.6
M2,potato,4,4,2025,50,45,246.1,196.9,18.05,0.2079,3856,3.3
M2,potato,4,13,2025,50,149,821.9,772.6,64.37,-8.3827,3128,6.8
M2,potato,4,26,2025,50,1,260.3,178.7,14.86,0.0511,2072,0.5
M3,tomato,1,1,2022,63,175,747.0,493.9,23.29,0.6691,28815,3.2
M3,tomato,1,4,2022,63,105,1088.0,744.4,33.98,0.3022,28671,10.0
M3,tomato,1,13,2022,63,49,1201.0,763.6,35.09,0.1766,28397,6.7
M3,tomato,1,26,2022,63,12,1113.8,765.3,48.24,0.174,28250,3.8
M3,tomato,2,1,2023,63,50,1541.0,852.4,31.17,0.5483,29252,6.0
M3,tomato,2,4,2023,63,43,2065.0,1199.1,46.53,0.1752,29046,5.5
M3,tomato,2,13,2023,63,23,2274.1,1370.2,55.72,-0.0242,28683,4.5
M3,tomato,2,26,2023,63,10,2370.8,1361.7,42.05,-0.164,28375,3.9
M3,tomato,3,1,2024,63,44,968.4,717.6,28.76,0.576,34408,8.3
M3,tomato,3,4,2024,63,10,1483.0,1067.3,38.37,0.0199,34270,5.9
M3,tomato,3,13,2024,63,15,1584.0,1116.3,42.7,-0.0437,34012,6.7
M3,tomato,3,26,2024,63,190,1144.9,831.0,42.72,0.4035,33684,17.7
M3,tomato,4,1,2025,63,78,701.3,465.7,20.59,0.7229,37281,10.6
M3,tomato,4,4,2025,63,433,889.4,661.9,32.98,0.5627,34764,26.0
M3,tomato,4,13,2025,63,267,1095.7,814.3,37.59,0.3209,27729,23.3
M3,tomato,4,26,2025,63,1,1797.5,1391.0,39.37,-1.0205,18121,6.0
M3,onion,1,1,2022,63,59,433.9,325.0,20.23,0.8149,13749,7.6
M3,onion,1,4,2022,63,39,552.0,427.9,29.85,0.6931,13697,6.3
M3,onion,1,13,2022,63,213,687.3,558.9,41.53,0.4984,13605,16.0
M3,onion,1,26,2022,63,146,580.1,391.6,25.58,0.6813,13575,8.2
M3,onion,2,1,2023,63,300,611.7,370.9,15.91,0.8105,14061,16.5
M3,onion,2,4,2023,63,237,890.2,593.4,24.5,0.5948,13985,18.3
M3,onion,2,13,2023,63,252,1059.4,725.7,28.83,0.3951,13813,19.5
M3,onion,2,26,2023,63,203,1274.8,962.1,35.47,0.0038,13619,16.4
M3,onion,3,1,2024,63,75,573.3,430.4,16.28,0.8455,14521,9.4
M3,onion,3,4,2024,63,75,821.3,648.7,23.34,0.6861,14464,9.2
M3,onion,3,13,2024,63,47,1310.4,1044.6,31.54,0.163,14295,7.2
M3,onion,3,26,2024,63,16,1515.7,1182.4,38.97,0.0035,14182,5.5
M3,onion,4,1,2025,63,164,415.2,285.8,13.13,0.8466,37303,15.0
M3,onion,4,4,2025,63,80,517.5,378.4,19.53,0.7394,34952,10.5
M3,onion,4,13,2025,63,33,820.3,690.3,47.4,0.2292,28138,6.8
M3,onion,4,26,2025,63,12,969.8,843.2,59.63,-0.1029,18519,5.7
M3,potato,1,1,2022,63,170,242.2,176.6,11.72,0.7986,4212,11.6
M3,potato,1,4,2022,63,41,470.0,392.2,24.91,0.2653,4205,5.2
M3,potato,1,13,2022,63,3,724.2,598.0,39.7,-0.4114,4178,3.2
M3,potato,1,26,2022,63,103,689.7,602.1,53.44,-0.432,4171,8.4
M3,potato,2,1,2023,63,40,143.8,104.1,9.83,0.8565,4247,5.7
M3,potato,2,4,2023,63,25,207.8,147.8,14.08,0.6889,4245,4.7
M3,potato,2,13,2023,63,8,378.4,303.5,22.66,-0.349,4246,3.6
M3,potato,2,26,2023,63,5,580.4,431.0,26.43,-0.4909,4249,3.5
M3,potato,3,1,2024,63,64,271.3,197.9,10.26,0.8242,4324,6.8
M3,potato,3,4,2024,63,73,376.2,295.3,16.02,0.6484,4318,7.2
M3,potato,3,13,2024,63,55,941.2,813.2,37.58,-1.0389,4308,6.0
M3,potato,3,26,2024,63,190,816.8,649.4,32.09,-0.4103,4301,13.3
M3,potato,4,1,2025,63,139,168.9,127.5,11.05,0.658,4114,10.4
M3,potato,4,4,2025,63,60,238.8,181.9,16.5,0.2541,3856,6.6
M3,potato,4,13,2025,63,174,849.3,791.6,65.94,-9.0178,3128,13.3
M3,potato,4,26,2025,63,21,650.7,594.7,51.5,-4.9285,2072,4.6
M4,tomato,1,1,2022,75,136,736.4,482.3,23.05,0.6785,28815,12.4
M4,tomato,1,4,2022,75,109,1101.4,747.2,34.18,0.2848,28671,10.7
M4,tomato,1,13,2022,75,46,1231.7,787.6,36.61,0.1339,28397,7.0
M4,tomato,1,26,2022,75,6,1190.5,825.5,51.03,0.0562,28250,4.6
M4,tomato,2,1,2023,75,40,1596.1,875.7,31.49,0.5154,29252,7.5
M4,tomato,2,4,2023,75,36,2074.0,1214.4,48.64,0.1679,29046,7.2
M4,tomato,2,13,2023,75,25,2238.2,1335.8,54.5,0.0079,28683,6.4
M4,tomato,2,26,2023,75,692,2208.6,1255.9,38.7,-0.0102,28375,42.4
M4,tomato,3,1,2024,75,35,987.3,733.5,29.26,0.5593,34408,9.4
M4,tomato,3,4,2024,75,12,1439.7,1047.7,39.46,0.0764,34270,7.4
M4,tomato,3,13,2024,75,40,1335.0,909.0,36.12,0.2586,34012,9.8
M4,tomato,3,26,2024,75,110,1171.1,840.1,41.74,0.3758,33684,14.5
M4,tomato,4,1,2025,75,66,711.0,469.5,20.47,0.7151,37281,13.0
M4,tomato,4,4,2025,75,146,940.7,697.7,34.24,0.5109,34764,20.7
M4,tomato,4,13,2025,75,221,1072.3,789.4,34.96,0.3496,27729,26.0
M4,tomato,4,26,2025,75,21,1343.8,994.2,32.04,-0.1293,18121,9.0
M4,onion,1,1,2022,75,47,454.0,342.6,20.86,0.7973,13749,7.7
M4,onion,1,4,2022,75,43,539.8,418.9,28.93,0.7066,13697,7.0
M4,onion,1,13,2022,75,113,786.7,657.2,49.19,0.3429,13605,12.0
M4,onion,1,26,2022,75,255,584.7,368.9,23.2,0.6762,13575,20.3
M4,onion,2,1,2023,75,300,612.0,385.0,16.35,0.8103,14061,20.6
M4,onion,2,4,2023,75,360,871.5,583.7,24.12,0.6116,13985,27.7
M4,onion,2,13,2023,75,195,1046.9,721.3,29.11,0.4093,13813,17.6
M4,onion,2,26,2023,75,248,1257.0,933.5,34.24,0.0314,13619,20.7
M4,onion,3,1,2024,75,119,595.3,440.6,16.99,0.8334,14521,13.0
M4,onion,3,4,2024,75,55,871.9,691.9,24.4,0.6462,14464,8.6
M4,onion,3,13,2024,75,101,1170.2,949.5,30.05,0.3325,14295,11.9
M4,onion,3,26,2024,75,18,1472.5,1144.7,37.27,0.0596,14182,5.8
M4,onion,4,1,2025,75,57,433.6,309.5,14.96,0.8327,37303,4.5
M4,onion,4,4,2025,75,55,555.4,412.2,21.29,0.6998,34952,9.2
M4,onion,4,13,2025,75,29,798.4,671.9,46.37,0.2699,28138,7.3
M4,onion,4,26,2025,75,10,921.7,808.1,55.17,0.0037,18519,5.9
M4,potato,1,1,2022,75,169,267.9,199.4,12.83,0.7536,4212,12.9
M4,potato,1,4,2022,75,239,441.2,366.1,23.84,0.3528,4205,17.0
M4,potato,1,13,2022,75,5,703.4,589.8,40.36,-0.3314,4178,3.2
M4,potato,1,26,2022,75,234,717.7,626.1,58.51,-0.5508,4171,14.4
M4,potato,2,1,2023,75,43,142.4,103.5,9.76,0.8593,4247,2.8
M4,potato,2,4,2023,75,25,209.6,152.4,14.32,0.6835,4245,4.2
M4,potato,2,13,2023,75,6,381.9,305.0,22.86,-0.3742,4246,4.4
M4,potato,2,26,2023,75,1,603.2,447.3,27.58,-0.6101,4249,3.2
M4,potato,3,1,2024,75,66,270.8,195.3,10.18,0.8249,4324,3.3
M4,potato,3,4,2024,75,61,375.6,295.8,15.39,0.6496,4318,4.5
M4,potato,3,13,2024,75,58,877.9,754.9,35.05,-0.7739,4308,6.9
M4,potato,3,26,2024,75,148,819.2,639.5,31.03,-0.4185,4301,10.3
M4,potato,4,1,2025,75,115,165.0,123.7,10.76,0.6737,4114,7.9
M4,potato,4,4,2025,75,58,225.3,172.5,15.76,0.3358,3856,5.8
M4,potato,4,13,2025,75,246,751.2,683.0,56.78,-6.8378,3128,13.3
M4,potato,4,26,2025,75,18,562.6,512.2,44.73,-3.4315,2072,4.4
M5,tomato,1,1,2022,80,166,744.9,492.0,23.41,0.671,28815,4.1
M5,tomato,1,4,2022,80,142,1119.9,757.6,34.1,0.2607,28671,3.4
M5,tomato,1,13,2022,80,53,1201.1,772.9,34.81,0.1763,28397,3.9
M5,tomato,1,26,2022,80,8,1144.4,774.6,46.99,0.1279,28250,1.3
M5,tomato,2,1,2023,80,44,1580.0,866.7,31.38,0.5252,29252,2.2
M5,tomato,2,4,2023,80,32,2117.4,1226.7,47.9,0.1327,29046,1.8
M5,tomato,2,13,2023,80,21,2234.3,1288.6,49.33,0.0113,28683,1.7
M5,tomato,2,26,2023,80,737,2159.2,1220.7,37.68,0.0345,28375,9.8
M5,tomato,3,1,2024,80,37,964.3,717.6,29.09,0.5795,34408,2.4
M5,tomato,3,4,2024,80,10,1495.4,1093.5,40.17,0.0035,34270,1.9
M5,tomato,3,13,2024,80,39,1376.9,952.1,36.42,0.2114,34012,2.2
M5,tomato,3,26,2024,80,60,1249.2,924.6,48.85,0.2898,33684,2.6
M5,tomato,4,1,2025,80,71,698.5,458.7,20.13,0.7251,37281,3.1
M5,tomato,4,4,2025,80,122,964.0,708.9,33.72,0.4863,34764,3.9
M5,tomato,4,13,2025,80,218,1025.4,781.8,35.47,0.4052,27729,25.0
M5,tomato,4,26,2025,80,16,1406.2,1031.5,31.31,-0.2366,18121,8.0
M5,onion,1,1,2022,80,40,466.1,353.7,22.25,0.7863,13749,5.6
M5,onion,1,4,2022,80,45,519.2,406.1,28.33,0.7285,13697,1.4
M5,onion,1,13,2022,80,427,702.1,592.8,43.36,0.4765,13605,4.4
M5,onion,1,26,2022,80,50,601.1,437.9,30.55,0.6578,13575,1.3
M5,onion,2,1,2023,80,118,597.2,367.3,15.84,0.8193,14061,2.0
M5,onion,2,4,2023,80,170,854.3,568.0,23.7,0.6268,13985,2.5
M5,onion,2,13,2023,80,244,1013.4,690.3,27.99,0.4465,13813,3.1
M5,onion,2,26,2023,80,122,1248.5,920.0,33.56,0.0445,13619,2.2
M5,onion,3,1,2024,80,111,584.1,438.1,16.59,0.8396,14521,2.2
M5,onion,3,4,2024,80,127,833.3,669.9,23.8,0.6768,14464,3.1
M5,onion,3,13,2024,80,115,1270.6,1005.8,29.91,0.2131,14295,2.3
