crop,horizon_weeks,n_markets_tested,pct_significant,n_sig_M7_better,n_sig_M6_better,fisher_combined_p
tomato,1,803,13.3,79,28,0.0
tomato,4,803,12.7,5,97,0.0
tomato,13,786,6.0,43,4,0.00059
tomato,26,779,11.4,21,68,0.0
onion,1,772,31.1,205,35,0.0
onion,4,771,3.2,17,8,0.978547
onion,13,757,7.3,45,10,0.000798
onion,26,755,10.7,9,72,0.0
potato,1,82,75.6,62,0,0.0
potato,4,82,1.2,1,0,0.041753
potato,13,82,2.4,1,1,0.46308
potato,26,82,4.9,1,3,0.001398
