crop,horizon_weeks,market_id,market,DM_stat,p_value,mean_d,n,better_model,significant_5pct
tomato,1,2.0,Mahboob Manison APMC,-1.2902,0.1984,-29917.360907,211,M6,False
tomato,1,9.0,Shadnagar APMC,0.7748,0.4392,17902.782367,242,M7,False
tomato,1,19.0,Warangal APMC,-0.9665,0.3349,-10201.004516,217,M6,False
tomato,1,43.0,Chandigarh (Grain/F&V) APMC,0.6872,0.4926,26289.807224,240,M7,False
tomato,1,54.0,Bharuch APMC,-1.4119,0.1605,-12696.188084,123,M6,False
tomato,1,57.0,Nadiad APMC,0.8176,0.4149,16739.187441,153,M7,False
tomato,1,62.0,Morbi APMC,-1.7418,0.0828,-29364.125397,242,M6,False
tomato,1,64.0,Surat APMC,-1.4241,0.1557,-21440.656472,242,M6,False
tomato,1,66.0,Ahmedabad APMC,-1.351,0.178,-31571.156624,242,M6,False
tomato,1,69.0,PMY Kangra,0.2556,0.7985,6523.632992,242,M7,False
tomato,1,70.0,PMY Kullu,-0.001,0.9992,-18.479657,242,M6,False
tomato,1,71.0,PMY Paonta Sahib,0.4952,0.6209,9085.316404,242,M7,False
tomato,1,72.0,PMY Kather Solan,-0.7441,0.4576,-11400.402803,212,M6,False
tomato,1,75.0,Fatehabad APMC,1.5777,0.1161,28577.664402,215,M7,False
tomato,1,79.0,Narwana APMC,-0.6075,0.5441,-11827.355732,242,M6,False
tomato,1,80.0,Safidon APMC,0.6273,0.5311,9407.871696,242,M7,False
tomato,1,85.0,Ladwa APMC,0.2344,0.8149,3102.783122,242,M7,False
tomato,1,86.0,Pehowa APMC,0.807,0.4204,7689.558139,242,M7,False
tomato,1,87.0,Thanesar APMC,-0.9325,0.352,-26027.940138,241,M6,False
tomato,1,89.0,Shahabad APMC,-0.6178,0.5373,-8293.765179,242,M6,False
tomato,1,92.0,kalanwali APMC,-0.4771,0.6338,-8965.603632,207,M6,False
tomato,1,97.0,Parimpore Srinagar (F&V),-0.0365,0.9709,-707.716882,242,M6,False
tomato,1,98.0,Udhampur (F&V),-1.7112,0.0883,-47502.871394,242,M6,False
tomato,1,100.0,"Binny Mill (F&V), Bengaluru APMC",-1.699,0.0906,-32696.054453,242,M6,False
tomato,1,106.0,Davangere APMC,-2.0376,0.0427,-34359.53122,242,M6,True
tomato,1,112.0,Kolar APMC,-1.4732,0.142,-16342.276726,242,M6,False
tomato,1,115.0,Mysuru APMC,-1.3476,0.179,-24013.57778,242,M6,False
tomato,1,125.0,Ernakulam Market,1.5015,0.1346,46687.810311,241,M7,False
tomato,1,126.0,Aluva Market,-0.5375,0.5914,-25003.740014,242,M6,False
tomato,1,128.0,Thalasserry Market,1.5399,0.1264,110956.782956,111,M7,False
tomato,1,131.0,Kollam Market,-3.2868,0.0012,-177968.469732,242,M6,True
tomato,1,132.0,Kottayam Market,0.5261,0.5993,23504.805699,242,M7,False
tomato,1,134.0,Manjeri Market,0.6212,0.535,30792.335126,242,M7,False
tomato,1,135.0,Palakkad Market,0.8455,0.3987,35631.202909,242,M7,False
tomato,1,136.0,Koduvayoor Market,1.8404,0.0669,72269.404953,242,M7,False
tomato,1,139.0,Thrissur Market,3.0487,0.0026,86371.371355,242,M7,True
tomato,1,140.0,Kodungalloor Market,1.2989,0.1953,79328.986862,230,M7,False
tomato,1,145.0,Ahilyanagar APMC,0.1097,0.9128,1201.800727,242,M7,False
tomato,1,151.0,Jalgaon APMC,-0.3538,0.7238,-6500.907705,242,M6,False
tomato,1,152.0,Kolhapur APMC,1.2663,0.2066,13959.878573,242,M7,False
tomato,1,154.0,Mumbai APMC,-1.3149,0.1898,-25410.956671,242,M6,False
tomato,1,155.0,Nagpur APMC,-0.7067,0.4804,-18846.527203,242,M6,False
tomato,1,160.0,Nasik APMC,-1.4346,0.1527,-23358.070624,242,M6,False
tomato,1,162.0,Pimpalgaon Baswant APMC,-0.9514,0.3424,-14077.848002,232,M6,False
tomato,1,164.0,Pune APMC,0.1964,0.8445,2275.975219,242,M7,False
tomato,1,168.0,SHRI.SIDDHESHWAR APMC,-1.5238,0.1289,-12720.99565,242,M6,False
tomato,1,173.0,Bhopal(F&V) APMC,-0.2379,0.8123,-1642.647065,148,M6,False
tomato,1,179.0,Indore(F&V) APMC,-1.0495,0.2955,-9814.7861,165,M6,False
tomato,1,184.0,Rajnandgaon APMC,1.3265,0.1859,20589.485193,242,M7,False
