crop,horizon_weeks,M7_wins,n_folds,binom_p
tomato,1,4,5,0.1875
tomato,4,2,5,0.8125
tomato,13,4,5,0.1875
tomato,26,4,5,0.1875
onion,1,3,5,0.5
onion,4,1,5,0.96875
onion,13,2,5,0.8125
onion,26,2,5,0.8125
potato,1,1,5,0.96875
potato,4,3,5,0.5
potato,13,2,5,0.8125
potato,26,2,5,0.8125
