crop,state,state_code,district,market,market_id,week_start,iso_year,iso_week,modal_price_weighted,arrivals_tonnes_week,trading_days
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2017-10-30,2017,44,2266.6666666666665,3.0,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2017-11-06,2017,45,2731.818181818182,4.4,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2017-11-13,2017,46,2874.074074074074,2.7,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2017-11-20,2017,47,1747.3684210526317,3.8,4.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2017-11-27,2017,48,1492.6829268292684,8.2,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2017-12-04,2017,49,1294.5652173913045,9.2,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2017-12-11,2017,50,697.9591836734693,9.8,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2017-12-18,2017,51,419.2307692307692,7.8,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2017-12-25,2017,52,428.7234042553191,9.4,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-01-01,2018,1,397.1590909090909,8.8,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-01-08,2018,2,400.0,7.4,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-01-15,2018,3,400.0,8.3,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-01-22,2018,4,453.75,8.0,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-01-29,2018,5,417.39130434782606,6.9,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-02-05,2018,6,436.48648648648646,7.4,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-02-12,2018,7,415.2941176470589,8.5,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-02-19,2018,8,386.5168539325842,8.9,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-02-26,2018,9,329.11392405063293,7.899999999999999,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-03-05,2018,10,325.974025974026,7.699999999999999,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-03-12,2018,11,312.9032258064516,6.2,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-03-19,2018,12,330.86419753086415,8.100000000000001,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-03-26,2018,13,446.1538461538461,6.5,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-04-02,2018,14,412.3076923076924,6.499999999999999,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-04-09,2018,15,475.6097560975609,8.200000000000001,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-04-16,2018,16,541.4634146341464,8.2,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-04-23,2018,17,572.1518987341772,7.9,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-04-30,2018,18,500.0,6.7,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-05-07,2018,19,500.0,3.3,4.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-05-14,2018,20,920.0,5.0,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-05-21,2018,21,775.8064516129032,6.2,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-05-28,2018,22,714.0,5.0,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-06-18,2018,25,1664.8648648648648,3.7,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-06-25,2018,26,1309.0909090909092,5.499999999999999,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-07-02,2018,27,1372.413793103448,5.800000000000001,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-07-09,2018,28,2236.3636363636365,3.3,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-07-16,2018,29,2227.9069767441856,4.300000000000001,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-07-23,2018,30,1234.5238095238094,8.4,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-07-30,2018,31,954.5454545454546,8.799999999999999,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-08-06,2018,32,914.5833333333334,9.6,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-08-13,2018,33,800.0,8.1,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-08-20,2018,34,620.5479452054794,7.300000000000001,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-08-27,2018,35,431.7647058823529,8.5,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-09-03,2018,36,400.0,9.8,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-09-10,2018,37,412.65822784810126,7.9,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-09-17,2018,38,425.0,8.0,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-09-24,2018,39,521.6494845360825,9.7,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-10-01,2018,40,536.5853658536586,8.2,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-10-08,2018,41,712.8205128205127,7.800000000000001,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-10-15,2018,42,1055.1020408163265,4.9,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-10-22,2018,43,891.1111111111111,4.5,4.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2018-12-31,2019,1,1800.0,5.0,1.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-01-07,2019,2,1680.0,5.0,2.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-01-14,2019,3,923.529411764706,17.0,3.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-01-21,2019,4,820.0,20.0,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-01-28,2019,5,938.4615384615385,26.0,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-02-04,2019,6,1013.0434782608696,23.0,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-02-11,2019,7,953.1468531468532,14.3,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-02-18,2019,8,1068.0,7.5,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-02-25,2019,9,666.6666666666666,3.0,4.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-03-04,2019,10,605.0000000000001,1.0,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-03-11,2019,11,435.064935064935,0.7700000000000001,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-03-18,2019,12,400.0,0.8,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-03-25,2019,13,547.6190476190477,1.0499999999999998,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-04-01,2019,14,1270.1492537313432,0.67,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-04-08,2019,15,1513.0434782608695,1.15,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-04-15,2019,16,1888.0,1.2500000000000002,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-04-22,2019,17,1871.9512195121952,0.82,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-04-29,2019,18,1808.219178082192,0.73,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-05-06,2019,19,2186.6666666666665,0.75,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-05-13,2019,20,3114.2857142857147,0.35,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-05-20,2019,21,3456.1403508771928,0.5700000000000001,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-05-27,2019,22,3929.4871794871783,0.7800000000000001,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-06-03,2019,23,3635.999999999999,0.25,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-06-10,2019,24,3258.064516129032,0.31,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-06-17,2019,25,3523.076923076923,0.13,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-06-24,2019,26,3470.833333333333,0.24,7.0
