crop,horizon_weeks,M9_wins,n_folds,binom_p
tomato,1,5,8,0.36328125
tomato,4,3,8,0.85546875
tomato,13,4,8,0.63671875
tomato,26,5,8,0.36328125
onion,1,7,8,0.03515625
onion,4,5,8,0.36328125
onion,13,3,8,0.85546875
onion,26,6,8,0.14453125
potato,1,4,8,0.63671875
potato,4,5,8,0.36328125
potato,13,5,8,0.36328125
potato,26,3,8,0.85546875
