crop,fold,horizon_weeks,n_train,train_start,test_start,test_end,RMSE,MAE,MAPE,R2,N
onion,6,1,155434,2003-01-13,2023-01-01,2023-12-31,629.1,379.1,15.93,0.8177,11221
onion,6,4,153603,2003-01-13,2023-01-01,2023-12-31,901.3,606.8,24.96,0.6215,11122
onion,6,13,150450,2003-01-13,2023-01-01,2023-12-31,1187.2,801.4,29.24,0.3072,10932
onion,6,26,148687,2003-01-13,2023-01-01,2023-12-31,1257.1,935.5,34.33,0.1186,10703
onion,7,1,166655,2003-01-13,2024-01-01,2024-12-31,550.9,413.1,15.56,0.8615,11103
onion,7,4,164725,2003-01-13,2024-01-01,2024-12-31,780.8,587.3,20.45,0.7265,11037
onion,7,13,161382,2003-01-13,2024-01-01,2024-12-31,994.5,812.1,27.04,0.5372,10888
onion,7,26,159390,2003-01-13,2024-01-01,2024-12-31,1176.7,968.0,38.01,0.4173,10810
onion,8,1,177758,2003-01-13,2025-01-01,2025-12-31,371.7,279.7,14.54,0.876,34675
onion,8,4,175762,2003-01-13,2025-01-01,2025-12-31,615.4,493.3,27.35,0.6237,34391
onion,8,13,172270,2003-01-13,2025-01-01,2025-12-31,991.2,792.3,49.95,-0.195,33786
onion,8,26,170200,2003-01-13,2025-01-01,2025-12-31,1015.1,759.8,47.05,-0.3065,33596
potato,1,1,29213,2003-01-13,2018-01-01,2018-12-31,155.6,111.6,11.69,0.8476,3780
potato,1,4,28652,2003-01-13,2018-01-01,2018-12-31,216.2,159.3,15.86,0.6968,3774
potato,1,13,27610,2003-01-13,2018-01-01,2018-12-31,446.4,364.7,31.8,-0.1876,3773
potato,1,26,27155,2003-01-13,2018-01-01,2018-12-31,236.7,171.8,19.61,0.6394,3774
potato,2,1,32993,2003-01-13,2019-01-01,2019-12-31,277.2,168.3,14.68,0.6582,3741
potato,2,4,32426,2003-01-13,2019-01-01,2019-12-31,404.9,257.7,20.92,0.3032,3736
potato,2,13,31383,2003-01-13,2019-01-01,2019-12-31,501.3,372.3,28.44,-0.2993,3679
potato,2,26,30929,2003-01-13,2019-01-01,2019-12-31,553.8,424.9,28.15,-0.4689,3526
potato,3,1,36734,2003-01-13,2020-01-01,2020-12-31,474.5,379.4,18.01,0.5276,3301
potato,3,4,36162,2003-01-13,2020-01-01,2020-12-31,567.2,480.0,26.73,0.4083,3237
potato,3,13,35062,2003-01-13,2020-01-01,2020-12-31,942.7,846.1,64.33,-0.2305,3139
potato,3,26,34455,2003-01-13,2020-01-01,2020-12-31,919.7,836.8,70.58,-0.0166,3155
potato,4,1,40035,2003-01-13,2021-01-01,2021-12-31,238.3,180.8,19.43,0.5242,3523
potato,4,4,39399,2003-01-13,2021-01-01,2021-12-31,286.4,213.8,23.29,0.2742,3497
potato,4,13,38201,2003-01-13,2021-01-01,2021-12-31,481.8,374.6,37.72,-1.202,3481
potato,4,26,37610,2003-01-13,2021-01-01,2021-12-31,591.2,491.5,44.31,-0.7487,3529
potato,5,1,43558,2003-01-13,2022-01-01,2022-12-31,257.9,190.9,13.24,0.7688,3716
potato,5,4,42896,2003-01-13,2022-01-01,2022-12-31,429.7,337.3,23.22,0.3807,3712
potato,5,13,41682,2003-01-13,2022-01-01,2022-12-31,813.1,642.1,56.18,-0.7716,3694
potato,5,26,41139,2003-01-13,2022-01-01,2022-12-31,823.3,715.4,70.44,-1.0317,3682
potato,6,1,47274,2003-01-13,2023-01-01,2023-12-31,137.7,103.4,9.42,0.873,3700
potato,6,4,46608,2003-01-13,2023-01-01,2023-12-31,193.5,149.5,13.41,0.7359,3695
potato,6,13,45376,2003-01-13,2023-01-01,2023-12-31,341.0,290.8,22.65,-0.1211,3687
potato,6,26,44821,2003-01-13,2023-01-01,2023-12-31,516.6,384.8,23.46,-0.2052,3679
potato,7,1,50974,2003-01-13,2024-01-01,2024-12-31,253.7,189.1,9.68,0.8401,3788
potato,7,4,50303,2003-01-13,2024-01-01,2024-12-31,398.3,312.7,15.9,0.5885,3782
potato,7,13,49063,2003-01-13,2024-01-01,2024-12-31,749.2,662.2,30.91,-0.325,3772
potato,7,26,48500,2003-01-13,2024-01-01,2024-12-31,587.6,463.1,25.28,0.2769,3765
potato,8,1,54762,2003-01-13,2025-01-01,2025-12-31,191.1,151.1,13.2,0.6324,3672
potato,8,4,54085,2003-01-13,2025-01-01,2025-12-31,301.2,247.5,21.9,0.0452,3648
potato,8,13,52835,2003-01-13,2025-01-01,2025-12-31,677.0,627.1,59.24,-2.8799,3607
potato,8,26,52265,2003-01-13,2025-01-01,2025-12-31,435.0,377.4,45.04,-0.4069,3592
