episode,label,n_test_weeks,n_test_positive,auc,avg_precision
onion_2019,Onion Sep-2019 ban,50,10,0.915,0.772
onion_2020,Onion Sep-2020 ban,51,10,0.866,0.622
onion_2023,Onion Aug-2023 duty (first action of 2023-24 sequence),50,10,0.875,0.838
tomato_2023,Tomato Jul-2023 NCCF/NAFED procurement,50,10,0.793,0.593
