crop,horizon_weeks,market_id,market,DM_stat,p_value,mean_d,n,better_model,significant_5pct
tomato,1,2.0,Mahboob Manison APMC,1.5719,0.1175,45919.7301,211,M9,False
tomato,1,9.0,Shadnagar APMC,-1.1846,0.2373,-21618.737726,242,M6,False
tomato,1,19.0,Warangal APMC,0.6625,0.5083,10357.635713,217,M9,False
tomato,1,43.0,Chandigarh (Grain/F&V) APMC,1.2423,0.2153,38103.974009,240,M9,False
tomato,1,54.0,Bharuch APMC,1.1185,0.2655,15091.072518,123,M9,False
tomato,1,57.0,Nadiad APMC,-0.3836,0.7018,-6432.6725,153,M6,False
tomato,1,62.0,Morbi APMC,0.7678,0.4434,13611.299497,242,M9,False
tomato,1,64.0,Surat APMC,0.1278,0.8984,2231.578877,242,M9,False
tomato,1,66.0,Ahmedabad APMC,0.8095,0.419,19560.390892,242,M9,False
tomato,1,69.0,PMY Kangra,0.1483,0.8822,4193.047736,242,M9,False
tomato,1,70.0,PMY Kullu,0.5103,0.6103,9563.203159,242,M9,False
tomato,1,71.0,PMY Paonta Sahib,-0.3087,0.7578,-8860.637327,242,M6,False
tomato,1,72.0,PMY Kather Solan,0.6396,0.5231,15964.621687,212,M9,False
tomato,1,75.0,Fatehabad APMC,-0.2448,0.8068,-3252.935176,215,M6,False
tomato,1,79.0,Narwana APMC,0.6205,0.5355,11681.92207,242,M9,False
tomato,1,80.0,Safidon APMC,0.7425,0.4585,9382.926429,242,M9,False
tomato,1,85.0,Ladwa APMC,1.0767,0.2827,19292.955075,242,M9,False
tomato,1,86.0,Pehowa APMC,2.5422,0.0116,27344.116587,242,M9,True
tomato,1,87.0,Thanesar APMC,-0.4116,0.681,-8264.059396,241,M6,False
tomato,1,89.0,Shahabad APMC,0.1427,0.8866,1630.739183,242,M9,False
tomato,1,92.0,kalanwali APMC,0.0639,0.9491,1425.021203,207,M9,False
tomato,1,97.0,Parimpore Srinagar (F&V),-2.0911,0.0376,-55548.063322,242,M6,True
tomato,1,98.0,Udhampur (F&V),0.8008,0.424,19326.085765,242,M9,False
tomato,1,100.0,"Binny Mill (F&V), Bengaluru APMC",2.421,0.0162,59275.026792,242,M9,True
tomato,1,106.0,Davangere APMC,0.4021,0.6879,4376.533473,242,M9,False
tomato,1,112.0,Kolar APMC,1.601,0.1107,22299.844896,242,M9,False
tomato,1,115.0,Mysuru APMC,1.2802,0.2017,22113.075054,242,M9,False
tomato,1,125.0,Ernakulam Market,1.2241,0.2221,31181.467594,241,M9,False
tomato,1,126.0,Aluva Market,1.1076,0.2691,34611.045342,242,M9,False
tomato,1,128.0,Thalasserry Market,1.0771,0.2838,35403.212182,111,M9,False
tomato,1,131.0,Kollam Market,6.6864,0.0,438003.024007,242,M9,True
tomato,1,132.0,Kottayam Market,0.105,0.9164,4108.537474,242,M9,False
tomato,1,134.0,Manjeri Market,0.9136,0.3619,22812.643989,242,M9,False
tomato,1,135.0,Palakkad Market,-0.7928,0.4287,-21035.262538,242,M6,False
tomato,1,136.0,Koduvayoor Market,-2.2868,0.0231,-64094.91773,242,M6,True
tomato,1,139.0,Thrissur Market,0.7476,0.4554,19332.352723,242,M9,False
tomato,1,140.0,Kodungalloor Market,0.9945,0.321,34681.814551,230,M9,False
tomato,1,145.0,Ahilyanagar APMC,3.0657,0.0024,43795.838507,242,M9,True
tomato,1,151.0,Jalgaon APMC,1.5112,0.132,22962.851087,242,M9,False
tomato,1,152.0,Kolhapur APMC,2.4422,0.0153,35868.806915,242,M9,True
