crop,market,out_sig,out_n,in_sig,in_n,out_rate,in_rate,net_score,period
potato,Rampurhat APMC,30,38,28,38,0.7894736842105263,0.7368421052631579,0.052631578947368474,full_sample
potato,Ghatal APMC,27,38,32,38,0.7105263157894737,0.8421052631578947,-0.13157894736842102,full_sample
potato,Sainthia APMC,25,38,31,38,0.6578947368421053,0.8157894736842105,-0.1578947368421052,full_sample
potato,Siliguri APMC,27,38,33,38,0.7105263157894737,0.868421052631579,-0.1578947368421053,full_sample
potato,Birbhum APMC,21,38,29,38,0.5526315789473685,0.7631578947368421,-0.21052631578947367,full_sample
potato,Durgapur APMC,25,38,33,38,0.6578947368421053,0.868421052631579,-0.21052631578947367,full_sample
potato,Jangipur APMC,25,38,34,38,0.6578947368421053,0.8947368421052632,-0.23684210526315785,full_sample
potato,Asansol APMC,24,38,34,38,0.631578947368421,0.8947368421052632,-0.26315789473684215,full_sample
potato,Baxirhat APMC,19,38,35,38,0.5,0.9210526315789473,-0.42105263157894735,full_sample
potato,Dehradoon APMC,7,38,37,38,0.18421052631578946,0.9736842105263158,-0.7894736842105263,full_sample
potato,Haldwani APMC,5,38,38,38,0.13157894736842105,1.0,-0.868421052631579,full_sample
potato,Habra APMC,35,38,10,38,0.9210526315789473,0.2631578947368421,0.6578947368421053,early
potato,Champadanga APMC,33,38,11,38,0.868421052631579,0.2894736842105263,0.5789473684210527,early
potato,Purulia APMC,33,38,15,38,0.868421052631579,0.39473684210526316,0.4736842105263158,early
potato,Dehradoon APMC,16,38,4,38,0.42105263157894735,0.10526315789473684,0.3157894736842105,early
potato,Chakdah APMC,30,38,19,38,0.7894736842105263,0.5,0.2894736842105263,early
potato,Ghatal APMC,29,38,19,38,0.7631578947368421,0.5,0.26315789473684215,early
potato,Katwa APMC,23,38,16,38,0.6052631578947368,0.42105263157894735,0.1842105263157895,early
potato,Burdwan APMC,19,38,19,38,0.5,0.5,0.0,early
potato,Rampurhat APMC,21,38,24,38,0.5526315789473685,0.631578947368421,-0.07894736842105254,early
potato,Sainthia APMC,20,38,24,38,0.5263157894736842,0.631578947368421,-0.10526315789473684,early
potato,Birbhum APMC,17,38,21,38,0.4473684210526316,0.5526315789473685,-0.10526315789473689,early
potato,Guskara APMC,19,38,25,38,0.5,0.6578947368421053,-0.1578947368421053,early
potato,Baxirhat APMC,19,38,25,38,0.5,0.6578947368421053,-0.1578947368421053,early
potato,Barasat APMC,20,38,26,38,0.5263157894736842,0.6842105263157895,-0.1578947368421053,early
potato,Jangipur APMC,20,38,29,38,0.5263157894736842,0.7631578947368421,-0.23684210526315796,early
potato,Siliguri APMC,4,38,15,38,0.10526315789473684,0.39473684210526316,-0.2894736842105263,early
potato,Durgapur APMC,16,38,27,38,0.42105263157894735,0.7105263157894737,-0.2894736842105263,early
potato,Asansol APMC,18,38,29,38,0.47368421052631576,0.7631578947368421,-0.2894736842105264,early
potato,Haldwani APMC,1,38,13,38,0.02631578947368421,0.34210526315789475,-0.3157894736842105,early
potato,Bolpur APMC,10,38,32,38,0.2631578947368421,0.8421052631578947,-0.5789473684210527,early
potato,Chakdah APMC,33,38,10,38,0.868421052631579,0.2631578947368421,0.605263157894737,late
potato,Champadanga APMC,34,38,13,38,0.8947368421052632,0.34210526315789475,0.5526315789473684,late
potato,Katwa APMC,31,38,19,38,0.8157894736842105,0.5,0.3157894736842105,late
potato,Purulia APMC,32,38,21,38,0.8421052631578947,0.5526315789473685,0.2894736842105262,late
potato,Rampurhat APMC,31,38,25,38,0.8157894736842105,0.6578947368421053,0.1578947368421052,late
potato,Habra APMC,27,38,21,38,0.7105263157894737,0.5526315789473685,0.1578947368421052,late
potato,Sainthia APMC,29,38,24,38,0.7631578947368421,0.631578947368421,0.13157894736842113,late
potato,Durgapur APMC,25,38,22,38,0.6578947368421053,0.5789473684210527,0.07894736842105265,late
potato,Barasat APMC,25,38,23,38,0.6578947368421053,0.6052631578947368,0.052631578947368474,late
potato,Burdwan APMC,21,38,21,38,0.5526315789473685,0.5526315789473685,0.0,late
potato,Siliguri APMC,25,38,28,38,0.6578947368421053,0.7368421052631579,-0.07894736842105254,late
potato,Haldwani APMC,8,38,12,38,0.21052631578947367,0.3157894736842105,-0.10526315789473684,late
potato,Guskara APMC,17,38,21,38,0.4473684210526316,0.5526315789473685,-0.10526315789473689,late
potato,Asansol APMC,20,38,25,38,0.5263157894736842,0.6578947368421053,-0.13157894736842113,late
potato,Dehradoon APMC,2,38,8,38,0.05263157894736842,0.21052631578947367,-0.15789473684210525,late
potato,Bolpur APMC,20,38,28,38,0.5263157894736842,0.7368421052631579,-0.21052631578947367,late
potato,Jangipur APMC,23,38,33,38,0.6052631578947368,0.868421052631579,-0.26315789473684215,late
potato,Birbhum APMC,16,38,30,38,0.42105263157894735,0.7894736842105263,-0.368421052631579,late
potato,Baxirhat APMC,12,38,27,38,0.3157894736842105,0.7105263157894737,-0.39473684210526316,late
potato,Ghatal APMC,15,38,35,38,0.39473684210526316,0.9210526315789473,-0.5263157894736842,late
