state,state_code,district_raw,district_norm,date,trigger1,fetch_status
Andhra Pradesh,C91S40,SRI POTTI SRIRAMULU NELLORE,SRI POTTI SRIRAMULU NELLORE,2023-07-01,No,ok
Andhra Pradesh,C91S40,ANAKAPALLI,ANAKAPALLI,2023-07-01,No,ok
Andhra Pradesh,C91S40,SRI SATHYA SAI,SRI SATHYA SAI,2023-07-01,No,ok
Andhra Pradesh,C91S40,SRIKAKULAM,SRIKAKULAM,2023-07-01,No,ok
Andhra Pradesh,C91S40,TIRUPATI,TIRUPATI,2023-07-01,No,ok
Andhra Pradesh,C91S40,VISAKHAPATNAM,VISAKHAPATNAM,2023-07-01,Yes,ok
Andhra Pradesh,C91S40,VIZIANAGARAM,VIZIANAGARAM,2023-07-01,No,ok
Andhra Pradesh,C91S40,WEST GODAVARI,WEST GODAVARI,2023-07-01,Yes,ok
Andhra Pradesh,C91S40,YANAM,YANAM,2023-07-01,Yes,ok
Andhra Pradesh,C91S40,YSR KADAPA,YSR KADAPA,2023-07-01,No,ok
